chrom,start,end,cluster_5mb,region_id,interpretation_rank,selected_by_ml,selected_by_dl,ml_rank,dl_rank,age_pearson_r,age_pearson_p,age_direction,dataset_support_count,tissue_support_count,n_datasets_evaluated,n_tissues_evaluated,missing_fraction,dataset_mean_shift,tissue_mean_shift,fold_stability_proxy,permutation_importance_proxy,ml_rank_importance_proxy,dl_gradient_importance_proxy,dl_occlusion_importance_proxy,confounding_label,interpretation_note
chr2,163200000,163204999,chr2:160000000-164999999,chr2:163200000-163204999,1,True,True,1.0,501,0.310951,9.768182897009248e-29,hypermethylating_with_age,5,10,6,13,0.0,0.047054,0.07751,0.867521,0.31095091,1.0,0.00062066,6.574e-05,cross_tissue_stable,age-associated methylation signal; mechanism not inferred
chr13,100490000,100494999,chr13:100000000-104999999,chr13:100490000-100494999,17,False,True,,9,0.245701,3.221045028710185e-18,hypermethylating_with_age,1,6,6,13,0.0,0.031467,0.019079,0.376068,0.24570077,0.0,0.02730009,0.00149763,mixed_or_low_support,age-associated methylation signal; mechanism not inferred
chr9,67630000,67634999,chr9:65000000-69999999,chr9:67630000-67634999,18,True,True,9.0,509,0.300374,7.754509516246755e-27,hypermethylating_with_age,4,9,6,13,0.0,0.024754,0.037713,0.786325,0.30037366,0.11111111,0.00059013,3.551e-05,cross_tissue_stable,age-associated methylation signal; mechanism not inferred
chr4,32655000,32659999,chr4:30000000-34999999,chr4:32655000-32659999,19,True,True,10.0,510,-0.262995,9.844044519149431e-21,hypomethylating_with_age,1,6,6,13,0.0,0.106182,0.079723,0.542735,0.26299544,0.1,0.00051568,9.176e-05,mixed_or_low_support,age-associated methylation signal; mechanism not inferred
chr8,3585000,3589999,chr8:0-4999999,chr8:3585000-3589999,20,False,True,,10,0.301766,4.850821504665377e-27,hypermethylating_with_age,4,7,6,13,0.001641,0.025551,0.032492,0.568376,0.30127055,0.0,0.03017657,0.00156809,cross_tissue_stable,age-associated methylation signal; mechanism not inferred
chr17,83630000,83634999,chr17:80000000-84999999,chr17:83630000-83634999,21,True,True,11.0,511,0.273529,2.3288925172402734e-22,hypermethylating_with_age,4,10,6,13,0.0,0.07697,0.097681,0.811966,0.27352873,0.09090909,0.00053528,6.432e-05,cross_tissue_stable,age-associated methylation signal; mechanism not inferred
chr2,127335000,127339999,chr2:125000000-129999999,chr2:127335000-127339999,22,False,True,,11,-0.202277,1.0557091454471776e-12,hypomethylating_with_age,1,6,6,13,0.001641,0.05879,0.049565,0.376068,0.20194506,0.0,0.01838881,0.00300993,mixed_or_low_support,age-associated methylation signal; mechanism not inferred
chr12,11145000,11149999,chr12:10000000-14999999,chr12:11145000-11149999,23,True,True,12.0,512,0.318087,4.8626478474231176e-30,hypermethylating_with_age,6,9,6,13,0.00082,0.04782,0.107243,0.897436,0.31782641,0.08333333,0.00062126,7.05e-05,cross_tissue_stable,age-associated methylation signal; mechanism not inferred
chr6,21985000,21989999,chr6:20000000-24999999,chr6:21985000-21989999,24,False,True,,12,0.24747,1.8767584008536385e-18,hypermethylating_with_age,4,7,6,13,0.00082,0.077433,0.10064,0.568376,0.24726655,0.0,0.02062246,0.00359355,cross_tissue_stable,age-associated methylation signal; mechanism not inferred
chr12,118835000,118839999,chr12:115000000-119999999,chr12:118835000-118839999,25,False,True,,13,0.318088,5.4130963993018e-30,hypermethylating_with_age,5,9,6,13,0.002461,0.031832,0.05581,0.675214,0.31730509,0.0,0.0244683,0.0021473,cross_tissue_stable,age-associated methylation signal; mechanism not inferred
chr8,106870000,106874999,chr8:105000000-109999999,chr8:106870000-106874999,26,True,True,13.0,513,0.277397,5.646494874593472e-23,hypermethylating_with_age,5,9,6,13,0.0,0.035015,0.046788,0.84188,0.27739675,0.07692308,0.00054073,4.073e-05,cross_tissue_stable,age-associated methylation signal; mechanism not inferred
chr11,98435000,98439999,chr11:95000000-99999999,chr11:98435000-98439999,27,True,True,14.0,514,-0.21298,5.977343099772797e-14,hypomethylating_with_age,3,7,6,13,0.001641,0.120454,0.17904,0.679487,0.21263011,0.07142857,0.00041436,0.00016734,cross_tissue_stable,age-associated methylation signal; mechanism not inferred
chr14,19820000,19824999,chr14:15000000-19999999,chr14:19820000-19824999,28,False,True,,14,0.28373,5.748674164576931e-24,hypermethylating_with_age,1,7,6,13,0.001641,0.092338,0.089175,0.401709,0.28326452,0.0,0.02026643,0.00289436,mixed_or_low_support,age-associated methylation signal; mechanism not inferred
chr11,96195000,96199999,chr11:95000000-99999999,chr11:96195000-96199999,29,True,True,15.0,515,0.267733,2.0882494696031833e-21,hypermethylating_with_age,5,10,6,13,0.002461,0.045811,0.065526,0.867521,0.267074,0.06666667,0.00051987,5.144e-05,cross_tissue_stable,age-associated methylation signal; mechanism not inferred
chr3,135690000,135694999,chr3:135000000-139999999,chr3:135690000-135694999,30,False,True,,15,0.274791,1.4704920134836497e-22,hypermethylating_with_age,2,8,6,13,0.0,0.020725,0.026315,0.482906,0.27479072,0.0,0.01831938,0.00090764,mixed_or_low_support,age-associated methylation signal; mechanism not inferred
chr4,106460000,106464999,chr4:105000000-109999999,chr4:106460000-106464999,31,False,True,,16,0.270897,6.510292135200344e-22,hypermethylating_with_age,4,8,6,13,0.001641,0.049167,0.090422,0.594017,0.27045287,0.0,0.01693108,0.00166282,cross_tissue_stable,age-associated methylation signal; mechanism not inferred
chr9,117250000,117254999,chr9:115000000-119999999,chr9:117250000-117254999,32,True,True,16.0,516,0.335261,2.362440159610483e-33,hypermethylating_with_age,5,9,6,13,0.001641,0.043102,0.087086,0.84188,0.33471129,0.0625,0.00064973,5.659e-05,cross_tissue_stable,age-associated methylation signal; mechanism not inferred
chr13,92840000,92844999,chr13:90000000-94999999,chr13:92840000-92844999,33,True,True,17.0,517,-0.199577,2.1697937431427894e-12,hypomethylating_with_age,2,8,6,13,0.002461,0.074558,0.061144,0.649573,0.19908619,0.05882353,0.00038603,8.448e-05,mixed_or_low_support,age-associated methylation signal; mechanism not inferred
chr5,121560000,121564999,chr5:120000000-124999999,chr5:121560000-121564999,34,False,True,,17,-0.188044,3.85313648510764e-11,hypomethylating_with_age,4,6,6,13,0.002461,0.081504,0.215795,0.542735,0.18758108,0.0,0.0110614,0.00348326,cross_tissue_stable,age-associated methylation signal; mechanism not inferred
chr2,73270000,73274999,chr2:70000000-74999999,chr2:73270000-73274999,35,True,True,18.0,518,0.26445,5.92830894874813e-21,hypermethylating_with_age,5,9,6,13,0.0,0.030157,0.032567,0.84188,0.26445,0.05555556,0.00051052,3.978e-05,cross_tissue_stable,age-associated methylation signal; mechanism not inferred
chr6,8945000,8949999,chr6:5000000-9999999,chr6:8945000-8949999,36,False,True,,18,0.285522,2.789126037879686e-24,hypermethylating_with_age,6,10,6,13,0.00082,0.098648,0.248072,0.75641,0.28528729,0.0,0.01586231,0.00307553,cross_tissue_stable,age-associated methylation signal; mechanism not inferred
chr2,22620000,22624999,chr2:20000000-24999999,chr2:22620000-22624999,37,True,True,19.0,519,0.307853,3.9612395583147326e-28,hypermethylating_with_age,5,10,6,13,0.001641,0.066326,0.123085,0.867521,0.30734839,0.05263158,0.00059317,6.645e-05,cross_tissue_stable,age-associated methylation signal; mechanism not inferred
chr8,57320000,57324999,chr8:55000000-59999999,chr8:57320000-57324999,38,False,True,,19,0.265754,3.894698846819394e-21,hypermethylating_with_age,4,10,6,13,0.00082,0.076183,0.111618,0.645299,0.26553549,0.0,0.01398703,0.00195381,cross_tissue_stable,age-associated methylation signal; mechanism not inferred
chr13,95525000,95529999,chr13:95000000-99999999,chr13:95525000-95529999,39,False,True,,20,0.229758,4.960990565337806e-16,hypermethylating_with_age,4,9,6,13,0.002461,0.018066,0.026946,0.619658,0.2291922,0.0,0.01148788,0.00073975,cross_tissue_stable,age-associated methylation signal; mechanism not inferred
chr15,39655000,39659999,chr15:35000000-39999999,chr15:39655000-39659999,40,True,True,20.0,520,0.330628,2.638999567387092e-32,hypermethylating_with_age,6,10,6,13,0.005742,0.055096,0.134634,0.923077,0.32872913,0.05,0.00063582,7.803e-05,cross_tissue_stable,age-associated methylation signal; mechanism not inferred
chr3,154595000,154599999,chr3:150000000-154999999,chr3:154595000-154599999,41,False,True,,21,0.233467,1.5326247377762623e-16,hypermethylating_with_age,1,5,6,13,0.00082,0.018942,0.016457,0.350427,0.23327582,0.0,0.01111749,0.00059423,mixed_or_low_support,age-associated methylation signal; mechanism not inferred
chr8,48555000,48559999,chr8:45000000-49999999,chr8:48555000-48559999,42,True,True,21.0,521,0.331391,1.3142457588720094e-32,hypermethylating_with_age,5,10,6,13,0.00082,0.076476,0.135822,0.867521,0.33111938,0.04761905,0.00063607,0.00013528,cross_tissue_stable,age-associated methylation signal; mechanism not inferred
chr8,26975000,26979999,chr8:25000000-29999999,chr8:26975000-26979999,43,False,True,,22,0.121689,2.042826276587878e-05,hypermethylating_with_age,3,8,6,13,0.0,0.08031,0.22499,0.538462,0.12168911,0.0,0.00553132,0.00374501,cross_tissue_stable,age-associated methylation signal; mechanism not inferred
chr9,44405000,44409999,chr9:40000000-44999999,chr9:44405000-44409999,44,True,True,22.0,522,-0.252435,3.5596797584406806e-19,hypomethylating_with_age,3,7,6,13,0.0,0.103024,0.154169,0.679487,0.25243492,0.04545455,0.00048359,8.145e-05,cross_tissue_stable,age-associated methylation signal; mechanism not inferred
chr10,42610000,42614999,chr10:40000000-44999999,chr10:42610000-42614999,45,False,True,,23,0.270475,7.288374605952737e-22,hypermethylating_with_age,5,11,6,13,0.00082,0.041364,0.044898,0.726496,0.27025345,0.0,0.0117598,0.00139158,cross_tissue_stable,age-associated methylation signal; mechanism not inferred
chr3,87515000,87519999,chr3:85000000-89999999,chr3:87515000-87519999,46,True,True,23.0,523,-0.265369,4.625013591629301e-21,hypomethylating_with_age,3,3,6,13,0.001641,0.123624,0.499928,0.576923,0.26493376,0.04347826,0.0005074,0.00021422,tissue_specific,age-associated methylation signal; mechanism not inferred
chr15,34495000,34499999,chr15:30000000-34999999,chr15:34495000-34499999,47,False,True,,24,-0.233466,1.4901412128616868e-16,hypomethylating_with_age,1,7,6,13,0.0,0.077701,0.06369,0.401709,0.23346631,0.0,0.00972776,0.0016164,mixed_or_low_support,age-associated methylation signal; mechanism not inferred
chr5,53585000,53589999,chr5:50000000-54999999,chr5:53585000-53589999,48,True,True,24.0,524,0.185677,6.44690483653029e-11,hypermethylating_with_age,0,6,6,13,0.0,0.061729,0.062501,0.487179,0.1856768,0.04166667,0.00035435,5.038e-05,mixed_or_low_support,age-associated methylation signal; mechanism not inferred
chr9,15305000,15309999,chr9:15000000-19999999,chr9:15305000-15309999,49,False,True,,25,-0.211976,7.877289948575219e-14,hypomethylating_with_age,1,6,6,13,0.001641,0.05836,0.075194,0.376068,0.21162778,0.0,0.00847902,0.00103704,mixed_or_low_support,age-associated methylation signal; mechanism not inferred
chr9,55540000,55544999,chr9:55000000-59999999,chr9:55540000-55544999,50,True,True,25.0,525,0.280808,1.58781263187184e-23,hypermethylating_with_age,6,10,6,13,0.0,0.045583,0.061865,0.923077,0.28080833,0.04,0.00053487,4.58e-05,cross_tissue_stable,age-associated methylation signal; mechanism not inferred
chr11,62550000,62554999,chr11:60000000-64999999,chr11:62550000-62554999,51,True,True,26.0,526,-0.208272,2.154907592593949e-13,hypomethylating_with_age,2,4,6,13,0.001641,0.069719,0.063703,0.547009,0.20792983,0.03846154,0.00039595,5.111e-05,mixed_or_low_support,age-associated methylation signal; mechanism not inferred
chr9,114560000,114564999,chr9:110000000-114999999,chr9:114560000-114564999,52,False,True,,26,0.260287,2.509383639143926e-20,hypermethylating_with_age,5,11,6,13,0.0,0.033307,0.038005,0.726496,0.26028745,0.0,0.01001106,0.00100706,cross_tissue_stable,age-associated methylation signal; mechanism not inferred
chr10,29535000,29539999,chr10:25000000-29999999,chr10:29535000-29539999,53,True,True,27.0,527,0.321142,1.28400112219102e-30,hypermethylating_with_age,5,10,6,13,0.00082,0.037506,0.063829,0.867521,0.32087837,0.03703704,0.00060938,4.737e-05,cross_tissue_stable,age-associated methylation signal; mechanism not inferred
chr1,156300000,156304999,chr1:155000000-159999999,chr1:156300000-156304999,54,False,True,,27,0.235122,8.980412489809477e-17,hypermethylating_with_age,4,7,6,13,0.0,0.068457,0.102542,0.568376,0.23512208,0.0,0.00870823,0.00123115,cross_tissue_stable,age-associated methylation signal; mechanism not inferred
chr13,30335000,30339999,chr13:30000000-34999999,chr13:30335000-30339999,55,True,True,28.0,528,0.322038,1.141283043420325e-30,hypermethylating_with_age,3,9,6,13,0.004922,0.047186,0.091775,0.730769,0.32045281,0.03571429,0.00060992,5.203e-05,cross_tissue_stable,age-associated methylation signal; mechanism not inferred
chr9,110405000,110409999,chr9:110000000-114999999,chr9:110405000-110409999,56,False,True,,28,-0.18951,2.6004586183932917e-11,hypomethylating_with_age,2,4,6,13,0.00082,0.042564,0.058747,0.380342,0.18935442,0.0,0.00676821,0.0006452,mixed_or_low_support,age-associated methylation signal; mechanism not inferred
chr11,96250000,96254999,chr11:95000000-99999999,chr11:96250000-96254999,57,False,True,,29,0.278699,3.783475217673831e-23,hypermethylating_with_age,4,10,6,13,0.001641,0.041719,0.063535,0.645299,0.27824143,0.0,0.0096103,0.00093814,cross_tissue_stable,age-associated methylation signal; mechanism not inferred
chr1,79440000,79444999,chr1:75000000-79999999,chr1:79440000-79444999,58,True,True,29.0,529,0.309212,2.75156882241303e-28,hypermethylating_with_age,4,9,6,13,0.004922,0.113972,0.264302,0.786325,0.30768964,0.03448276,0.00058452,0.00011317,cross_tissue_stable,age-associated methylation signal; mechanism not inferred
chr17,56610000,56614999,chr17:55000000-59999999,chr17:56610000-56614999,59,False,True,,30,-0.124081,1.4071797489444422e-05,hypomethylating_with_age,3,5,6,13,0.00082,0.111886,0.078956,0.461538,0.12397873,0.0,0.00413602,0.00149975,mixed_or_low_support,age-associated methylation signal; mechanism not inferred
chr2,71525000,71529999,chr2:70000000-74999999,chr2:71525000-71529999,60,True,True,30.0,530,0.255976,1.1658289079297684e-19,hypermethylating_with_age,5,10,6,13,0.001641,0.052777,0.083234,0.867521,0.25555611,0.03333333,0.00048297,5.989e-05,cross_tissue_stable,age-associated methylation signal; mechanism not inferred
chr11,106785000,106789999,chr11:105000000-109999999,chr11:106785000-106789999,61,True,True,31.0,531,0.269735,9.498919068137677e-22,hypermethylating_with_age,2,7,6,13,0.00082,0.015779,0.01379,0.623932,0.26951396,0.03225806,0.00050798,1.773e-05,mixed_or_low_support,age-associated methylation signal; mechanism not inferred
chr12,28585000,28589999,chr12:25000000-29999999,chr12:28585000-28589999,62,False,True,,31,0.266451,3.1626211129155616e-21,hypermethylating_with_age,1,8,6,13,0.001641,0.028897,0.029578,0.42735,0.26601378,0.0,0.00859519,0.00062691,mixed_or_low_support,age-associated methylation signal; mechanism not inferred
chr13,71455000,71459999,chr13:70000000-74999999,chr13:71455000-71459999,63,True,True,32.0,532,0.313207,7.006785961174611e-29,hypermethylating_with_age,4,6,6,13,0.009844,0.077307,0.14949,0.709402,0.31012421,0.03125,0.00058874,9.634e-05,cross_tissue_stable,age-associated methylation signal; mechanism not inferred
chr14,122475000,122479999,chr14:120000000-124999999,chr14:122475000-122479999,64,False,True,,32,0.27804,4.451463505236943e-23,hypermethylating_with_age,5,9,6,13,0.0,0.038676,0.059643,0.675214,0.27803989,0.0,0.00868875,0.00090231,cross_tissue_stable,age-associated methylation signal; mechanism not inferred
chr14,64585000,64589999,chr14:60000000-64999999,chr14:64585000-64589999,65,True,True,33.0,533,0.324352,3.1162008982112167e-31,hypermethylating_with_age,4,7,6,13,0.00082,0.066581,0.073092,0.735043,0.32408544,0.03030303,0.00060854,6.798e-05,cross_tissue_stable,age-associated methylation signal; mechanism not inferred
chr17,23725000,23729999,chr17:20000000-24999999,chr17:23725000-23729999,66,False,True,,33,-0.205641,4.1665951355704497e-13,hypomethylating_with_age,1,4,6,13,0.0,0.10368,0.100883,0.324786,0.20564085,0.0,0.00623154,0.00133427,mixed_or_low_support,age-associated methylation signal; mechanism not inferred
chr1,106170000,106174999,chr1:105000000-109999999,chr1:106170000-106174999,67,False,True,,34,0.275455,1.1531448564129572e-22,hypermethylating_with_age,1,9,6,13,0.0,0.04618,0.051119,0.452991,0.2754553,0.0,0.00810163,0.00071858,mixed_or_low_support,age-associated methylation signal; mechanism not inferred
chr5,33430000,33434999,chr5:30000000-34999999,chr5:33430000-33434999,68,True,True,34.0,534,0.311049,9.371066466932891e-29,hypermethylating_with_age,5,9,6,13,0.0,0.065112,0.131485,0.84188,0.31104922,0.02941176,0.00058249,6.55e-05,cross_tissue_stable,age-associated methylation signal; mechanism not inferred
chr1,194615000,194619999,chr1:190000000-194999999,chr1:194615000-194619999,69,True,True,35.0,535,0.331705,1.1390379728321054e-32,hypermethylating_with_age,2,7,6,13,0.00082,0.019764,0.017999,0.623932,0.33143294,0.02857143,0.00062001,2.649e-05,mixed_or_low_support,age-associated methylation signal; mechanism not inferred
chr9,102505000,102509999,chr9:100000000-104999999,chr9:102505000-102509999,70,False,True,,35,0.295449,9.281038144464853e-26,hypermethylating_with_age,5,8,6,13,0.009024,0.056276,0.083049,0.649573,0.29278332,0.0,0.00844141,0.00133907,cross_tissue_stable,age-associated methylation signal; mechanism not inferred
chr13,48225000,48229999,chr13:45000000-49999999,chr13:48225000-48229999,71,True,True,36.0,536,0.319288,4.699430559541633e-30,hypermethylating_with_age,4,10,6,13,0.008203,0.028897,0.038604,0.811966,0.31666891,0.02777778,0.00059569,4.715e-05,cross_tissue_stable,age-associated methylation signal; mechanism not inferred
chr2,13570000,13574999,chr2:10000000-14999999,chr2:13570000-13574999,72,False,True,,36,0.226478,1.2430645757467855e-15,hypermethylating_with_age,4,9,6,13,0.00082,0.026903,0.049567,0.619658,0.22629238,0.0,0.00629106,0.00050726,cross_tissue_stable,age-associated methylation signal; mechanism not inferred
chr19,30545000,30549999,chr19:30000000-34999999,chr19:30545000-30549999,73,True,True,37.0,537,0.338541,5.4706331948268134e-34,hypermethylating_with_age,6,9,6,13,0.002461,0.059454,0.128404,0.897436,0.33770825,0.02702703,0.00063043,6.882e-05,cross_tissue_stable,age-associated methylation signal; mechanism not inferred
chr3,108280000,108284999,chr3:105000000-109999999,chr3:108280000-108284999,74,False,True,,37,0.239018,2.8515360960179427e-17,hypermethylating_with_age,3,8,6,13,0.001641,0.016256,0.018931,0.538462,0.23862541,0.0,0.00645993,0.00030141,cross_tissue_stable,age-associated methylation signal; mechanism not inferred
chr18,15760000,15764999,chr18:15000000-19999999,chr18:15760000-15764999,75,False,True,,38,0.353477,5.146553683996105e-37,hypermethylating_with_age,5,10,6,13,0.004922,0.102668,0.170357,0.700855,0.35173733,0.0,0.00930203,0.00177681,cross_tissue_stable,age-associated methylation signal; mechanism not inferred
chr7,139940000,139944999,chr7:135000000-139999999,chr7:139940000-139944999,76,True,True,38.0,538,0.284416,4.433710567839586e-24,hypermethylating_with_age,6,12,6,13,0.001641,0.054976,0.090368,0.974359,0.28394889,0.02631579,0.00052865,5.217e-05,cross_tissue_stable,age-associated methylation signal; mechanism not inferred
chr10,42275000,42279999,chr10:40000000-44999999,chr10:42275000-42279999,77,True,True,39.0,539,0.292071,2.1209168160118406e-25,hypermethylating_with_age,3,8,6,13,0.0,0.024703,0.029768,0.705128,0.29207071,0.02564103,0.00054188,2.989e-05,cross_tissue_stable,age-associated methylation signal; mechanism not inferred
chr1,165640000,165644999,chr1:165000000-169999999,chr1:165640000-165644999,78,False,True,,39,0.234073,1.2383659599453632e-16,hypermethylating_with_age,0,7,6,13,0.0,0.019953,0.015737,0.346154,0.23407293,0.0,0.00600187,0.00025554,mixed_or_low_support,age-associated methylation signal; mechanism not inferred
chr7,105785000,105789999,chr7:105000000-109999999,chr7:105785000-105789999,79,False,True,,40,0.259341,3.471282905772415e-20,hypermethylating_with_age,5,11,6,13,0.0,0.074811,0.118087,0.726496,0.25934099,0.0,0.00648352,0.00139281,cross_tissue_stable,age-associated methylation signal; mechanism not inferred
chr7,43485000,43489999,chr7:40000000-44999999,chr7:43485000-43489999,80,True,True,40.0,540,0.295546,1.7035558969398137e-25,hypermethylating_with_age,4,8,6,13,0.020509,0.074053,0.091704,0.760684,0.28948518,0.025,0.00054731,8.063e-05,cross_tissue_stable,age-associated methylation signal; mechanism not inferred
chr12,102740000,102744999,chr12:100000000-104999999,chr12:102740000-102744999,81,True,True,41.0,541,-0.174512,8.578814619608161e-10,hypomethylating_with_age,1,5,6,13,0.0,0.05457,0.059061,0.517094,0.17451234,0.02439024,0.00032257,5.021e-05,mixed_or_low_support,age-associated methylation signal; mechanism not inferred
chr14,24245000,24249999,chr14:20000000-24999999,chr14:24245000-24249999,82,False,True,,41,0.328246,5.786967510098902e-32,hypermethylating_with_age,1,7,6,13,0.001641,0.03492,0.038702,0.401709,0.32770713,0.0,0.00800599,0.00070195,mixed_or_low_support,age-associated methylation signal; mechanism not inferred
chr2,148045000,148049999,chr2:145000000-149999999,chr2:148045000-148049999,83,True,True,42.0,542,0.329287,3.2241291073673655e-32,hypermethylating_with_age,5,10,6,13,0.0,0.060081,0.082699,0.867521,0.32928673,0.02380952,0.00060754,6.948e-05,cross_tissue_stable,age-associated methylation signal; mechanism not inferred
chr2,19445000,19449999,chr2:15000000-19999999,chr2:19445000-19449999,84,False,True,,42,0.28151,2.0130181565981214e-23,hypermethylating_with_age,5,9,6,13,0.009844,0.065992,0.13695,0.675214,0.27873831,0.0,0.00670261,0.00113618,cross_tissue_stable,age-associated methylation signal; mechanism not inferred
chr17,56830000,56834999,chr17:55000000-59999999,chr17:56830000-56834999,85,True,True,43.0,543,0.330413,1.9350172364531754e-32,hypermethylating_with_age,5,10,6,13,0.0,0.056182,0.051796,0.867521,0.33041272,0.02325581,0.00060849,5.071e-05,cross_tissue_stable,age-associated methylation signal; mechanism not inferred
chr1,87245000,87249999,chr1:85000000-89999999,chr1:87245000-87249999,86,False,True,,43,0.261876,1.934146909897058e-20,hypermethylating_with_age,3,6,6,13,0.006563,0.108681,0.168803,0.487179,0.26015785,0.0,0.00609015,0.00145608,cross_tissue_stable,age-associated methylation signal; mechanism not inferred
chr14,99045000,99049999,chr14:95000000-99999999,chr14:99045000-99049999,87,True,True,44.0,544,-0.267735,1.8641739221082835e-21,hypomethylating_with_age,1,6,6,13,0.0,0.114903,0.11874,0.542735,0.26773496,0.02272727,0.00049216,6.76e-05,mixed_or_low_support,age-associated methylation signal; mechanism not inferred
