chrom,cluster_5mb,confounding_label,n_regions,mean_abs_age_r,mean_stability,mean_missing_fraction
chr18,chr18:40000000-44999999,cross_tissue_stable,1,0.338892,0.923077,0.005742
chr19,chr19:30000000-34999999,cross_tissue_stable,1,0.338541,0.897436,0.002461
chr6,chr6:80000000-84999999,cross_tissue_stable,1,0.335916,0.811966,0.0
chr8,chr8:120000000-124999999,cross_tissue_stable,1,0.335716,0.619658,0.002461
chr9,chr9:115000000-119999999,cross_tissue_stable,1,0.335261,0.84188,0.001641
chr11,chr11:105000000-109999999,cross_tissue_stable,1,0.335028,0.811966,0.0
chr12,chr12:100000000-104999999,cross_tissue_stable,1,0.334543,0.786325,0.003281
chr4,chr4:80000000-84999999,cross_tissue_stable,1,0.33398,0.75641,0.003281
chr17,chr17:85000000-89999999,cross_tissue_stable,1,0.33377,0.923077,0.00082
chr1,chr1:190000000-194999999,mixed_or_low_support,1,0.331705,0.623932,0.00082
chr5,chr5:20000000-24999999,cross_tissue_stable,1,0.331558,0.84188,0.0
chr8,chr8:45000000-49999999,cross_tissue_stable,1,0.331391,0.867521,0.00082
chr17,chr17:55000000-59999999,cross_tissue_stable,1,0.330413,0.867521,0.0
chr14,chr14:10000000-14999999,cross_tissue_stable,1,0.330284,0.84188,0.001641
chr2,chr2:145000000-149999999,cross_tissue_stable,1,0.329287,0.867521,0.0
chr14,chr14:20000000-24999999,mixed_or_low_support,1,0.328246,0.401709,0.001641
chr7,chr7:70000000-74999999,cross_tissue_stable,1,0.327859,0.867521,0.012305
chr5,chr5:95000000-99999999,cross_tissue_stable,1,0.327102,0.730769,0.0
chr14,chr14:115000000-119999999,cross_tissue_stable,1,0.326883,0.782051,0.00082
chr6,chr6:120000000-124999999,cross_tissue_stable,1,0.32474,0.974359,0.017227
chr14,chr14:60000000-64999999,cross_tissue_stable,1,0.324352,0.735043,0.00082
chr10,chr10:90000000-94999999,cross_tissue_stable,1,0.324192,0.893162,0.0
chr18,chr18:50000000-54999999,cross_tissue_stable,1,0.324081,0.923077,0.0
chr12,chr12:85000000-89999999,cross_tissue_stable,1,0.322791,0.816239,0.00082
chr13,chr13:30000000-34999999,cross_tissue_stable,1,0.322038,0.730769,0.004922
chr17,chr17:90000000-94999999,cross_tissue_stable,1,0.321935,0.974359,0.00082
chr11,chr11:65000000-69999999,cross_tissue_stable,1,0.321558,0.893162,0.008203
chr16,chr16:70000000-74999999,cross_tissue_stable,1,0.319431,0.816239,0.059885
chr3,chr3:60000000-64999999,mixed_or_low_support,1,0.31923,0.431624,0.043478
chr1,chr1:80000000-84999999,cross_tissue_stable,1,0.318257,0.867521,0.00082
chr18,chr18:35000000-39999999,cross_tissue_stable,1,0.316968,0.705128,0.001641
chr7,chr7:80000000-84999999,cross_tissue_stable,1,0.3153,0.867521,0.0
chr15,chr15:75000000-79999999,cross_tissue_stable,1,0.315253,0.816239,0.0
chr5,chr5:80000000-84999999,cross_tissue_stable,1,0.314703,0.67094,0.057424
chr3,chr3:15000000-19999999,cross_tissue_stable,1,0.314453,0.867521,0.001641
chr2,chr2:135000000-139999999,cross_tissue_stable,1,0.31426,0.730769,0.0
chr6,chr6:25000000-29999999,cross_tissue_stable,1,0.313674,0.923077,0.00082
chr13,chr13:70000000-74999999,cross_tissue_stable,1,0.313207,0.709402,0.009844
chr3,chr3:60000000-64999999,cross_tissue_stable,1,0.31245,0.645299,0.001641
chr5,chr5:30000000-34999999,cross_tissue_stable,1,0.311049,0.84188,0.0
chr2,chr2:160000000-164999999,cross_tissue_stable,1,0.310951,0.867521,0.0
chr10,chr10:50000000-54999999,cross_tissue_stable,1,0.310068,0.619658,0.013946
chr9,chr9:80000000-84999999,cross_tissue_stable,1,0.30998,0.811966,0.013126
chr5,chr5:35000000-39999999,cross_tissue_stable,1,0.309923,0.675214,0.001641
chr15,chr15:10000000-14999999,cross_tissue_stable,1,0.309883,0.867521,0.001641
chr1,chr1:75000000-79999999,cross_tissue_stable,1,0.309212,0.786325,0.004922
chr2,chr2:20000000-24999999,cross_tissue_stable,1,0.307853,0.867521,0.001641
chr6,chr6:90000000-94999999,cross_tissue_stable,1,0.30701,0.564103,0.012305
chr5,chr5:110000000-114999999,cross_tissue_stable,1,0.306389,0.760684,0.016407
chr18,chr18:10000000-14999999,cross_tissue_stable,1,0.305403,0.923077,0.0
chr15,chr15:80000000-84999999,cross_tissue_stable,1,0.304508,0.649573,0.00082
chr8,chr8:0-4999999,cross_tissue_stable,1,0.301766,0.568376,0.001641
chr11,chr11:120000000-124999999,cross_tissue_stable,1,0.30071,0.811966,0.00082
chr5,chr5:135000000-139999999,cross_tissue_stable,1,0.300222,0.75641,0.002461
chr10,chr10:120000000-124999999,mixed_or_low_support,1,0.298397,0.508547,0.0
chr7,chr7:40000000-44999999,cross_tissue_stable,1,0.295546,0.760684,0.020509
chr14,chr14:5000000-9999999,cross_tissue_stable,1,0.295504,0.846154,0.063167
chr9,chr9:100000000-104999999,cross_tissue_stable,1,0.295449,0.649573,0.009024
chr5,chr5:90000000-94999999,cross_tissue_stable,1,0.295338,0.594017,0.002461
chr14,chr14:15000000-19999999,cross_tissue_stable,1,0.29486,0.700855,0.0
chr2,chr2:115000000-119999999,cross_tissue_stable,1,0.292606,0.705128,0.001641
chr2,chr2:170000000-174999999,cross_tissue_stable,1,0.290782,0.675214,0.00082
chr14,chr14:30000000-34999999,cross_tissue_stable,1,0.289925,0.700855,0.002461
chr1,chr1:175000000-179999999,cross_tissue_stable,1,0.28924,0.700855,0.0
chr3,chr3:150000000-154999999,cross_tissue_stable,1,0.289079,0.645299,0.003281
chr17,chr17:75000000-79999999,cross_tissue_stable,1,0.289009,0.893162,0.0
chr5,chr5:135000000-139999999,mixed_or_low_support,1,0.288179,0.508547,0.001641
chr4,chr4:115000000-119999999,cross_tissue_stable,1,0.288132,0.923077,0.00082
chr1,chr1:90000000-94999999,mixed_or_low_support,1,0.287875,0.482906,0.002461
chr8,chr8:60000000-64999999,cross_tissue_stable,1,0.287783,0.487179,0.006563
chr6,chr6:5000000-9999999,cross_tissue_stable,1,0.285522,0.75641,0.00082
chr7,chr7:135000000-139999999,cross_tissue_stable,1,0.284416,0.974359,0.001641
chr2,chr2:120000000-124999999,cross_tissue_stable,1,0.28384,0.67094,0.003281
chr14,chr14:15000000-19999999,mixed_or_low_support,1,0.28373,0.401709,0.001641
chr6,chr6:30000000-34999999,cross_tissue_stable,1,0.283155,0.974359,0.001641
chr15,chr15:60000000-64999999,mixed_or_low_support,1,0.281303,0.534188,0.004922
chr4,chr4:95000000-99999999,cross_tissue_stable,1,0.280705,0.594017,0.0
chr7,chr7:95000000-99999999,cross_tissue_stable,1,0.278328,0.675214,0.0
chr6,chr6:125000000-129999999,cross_tissue_stable,1,0.277816,0.897436,0.0
chr8,chr8:105000000-109999999,cross_tissue_stable,1,0.277397,0.84188,0.0
chr2,chr2:125000000-129999999,cross_tissue_stable,1,0.276684,0.564103,0.012305
chr3,chr3:135000000-139999999,mixed_or_low_support,1,0.274791,0.482906,0.0
chr15,chr15:40000000-44999999,cross_tissue_stable,1,0.273655,0.589744,0.0
chr17,chr17:80000000-84999999,cross_tissue_stable,1,0.273529,0.811966,0.0
chr11,chr11:100000000-104999999,mixed_or_low_support,1,0.273138,0.594017,0.00082
chr7,chr7:45000000-49999999,cross_tissue_stable,1,0.271107,0.512821,0.001641
chr2,chr2:60000000-64999999,cross_tissue_stable,1,0.270123,0.538462,0.00082
chr11,chr11:105000000-109999999,mixed_or_low_support,1,0.269735,0.623932,0.00082
chr14,chr14:95000000-99999999,mixed_or_low_support,1,0.267735,0.542735,0.0
chr12,chr12:25000000-29999999,mixed_or_low_support,1,0.266451,0.42735,0.001641
chr8,chr8:55000000-59999999,cross_tissue_stable,1,0.265754,0.645299,0.00082
chr3,chr3:85000000-89999999,tissue_specific,1,0.265369,0.576923,0.001641
chr3,chr3:50000000-54999999,mixed_or_low_support,1,0.264269,0.376068,0.0
chr17,chr17:5000000-9999999,mixed_or_low_support,1,0.263943,0.401709,0.002461
chr11,chr11:115000000-119999999,mixed_or_low_support,1,0.26339,0.42735,0.00082
chr4,chr4:30000000-34999999,mixed_or_low_support,1,0.262995,0.542735,0.0
chr2,chr2:35000000-39999999,mixed_or_low_support,1,0.26268,0.401709,0.003281
chr16,chr16:80000000-84999999,cross_tissue_stable,1,0.26223,0.594017,0.001641
chr18,chr18:75000000-79999999,cross_tissue_stable,1,0.262115,0.594017,0.001641
chr1,chr1:85000000-89999999,cross_tissue_stable,1,0.261876,0.487179,0.006563
chr9,chr9:110000000-114999999,cross_tissue_stable,1,0.260287,0.726496,0.0
chr7,chr7:105000000-109999999,cross_tissue_stable,1,0.259341,0.726496,0.0
chr14,chr14:45000000-49999999,cross_tissue_stable,1,0.258895,0.512821,0.0
chr6,chr6:55000000-59999999,cross_tissue_stable,1,0.255704,0.645299,0.004102
chr9,chr9:105000000-109999999,mixed_or_low_support,1,0.254603,0.512821,0.001641
chr9,chr9:40000000-44999999,mixed_or_low_support,1,0.252398,0.346154,0.0
chr8,chr8:10000000-14999999,cross_tissue_stable,1,0.250654,0.538462,0.004102
chr4,chr4:50000000-54999999,cross_tissue_stable,1,0.249268,0.564103,0.00082
chr11,chr11:100000000-104999999,cross_tissue_stable,1,0.248454,0.705128,0.0
chr10,chr10:105000000-109999999,mixed_or_low_support,1,0.247514,0.401709,0.0
chr6,chr6:20000000-24999999,cross_tissue_stable,1,0.24747,0.568376,0.00082
chr13,chr13:105000000-109999999,cross_tissue_stable,1,0.246208,0.512821,0.004102
chr15,chr15:55000000-59999999,mixed_or_low_support,1,0.246122,0.346154,0.0
chr1,chr1:115000000-119999999,mixed_or_low_support,1,0.243991,0.452991,0.00082
chr19,chr19:40000000-44999999,cross_tissue_stable,1,0.243075,0.837607,0.00082
chr19,chr19:35000000-39999999,mixed_or_low_support,1,0.240485,0.42735,0.00082
chr5,chr5:145000000-149999999,cross_tissue_stable,1,0.240201,0.726496,0.001641
chr3,chr3:105000000-109999999,cross_tissue_stable,1,0.239018,0.538462,0.001641
chr5,chr5:35000000-39999999,mixed_or_low_support,1,0.238495,0.649573,0.002461
chr11,chr11:110000000-114999999,cross_tissue_stable,1,0.237712,0.84188,0.003281
chr1,chr1:155000000-159999999,cross_tissue_stable,1,0.235122,0.568376,0.0
chr15,chr15:75000000-79999999,mixed_or_low_support,1,0.234797,0.542735,0.00082
chr1,chr1:165000000-169999999,mixed_or_low_support,1,0.234073,0.346154,0.0
chr3,chr3:150000000-154999999,mixed_or_low_support,1,0.233467,0.350427,0.00082
chr15,chr15:30000000-34999999,mixed_or_low_support,1,0.233466,0.401709,0.0
chr2,chr2:180000000-184999999,mixed_or_low_support,1,0.233362,0.42735,0.0
chr10,chr10:65000000-69999999,mixed_or_low_support,1,0.232511,0.461538,0.02297
chr6,chr6:125000000-129999999,mixed_or_low_support,1,0.230953,0.371795,0.0
chr4,chr4:40000000-44999999,mixed_or_low_support,1,0.230513,0.452991,0.002461
chr13,chr13:95000000-99999999,cross_tissue_stable,1,0.229758,0.619658,0.002461
chr3,chr3:105000000-109999999,mixed_or_low_support,1,0.228581,0.346154,0.0
chr2,chr2:90000000-94999999,mixed_or_low_support,1,0.223663,0.320513,0.001641
chr15,chr15:85000000-89999999,mixed_or_low_support,1,0.222208,0.508547,0.003281
chr13,chr13:80000000-84999999,cross_tissue_stable,1,0.218681,0.786325,0.001641
chr8,chr8:10000000-14999999,mixed_or_low_support,1,0.216992,0.294872,0.0
chr7,chr7:20000000-24999999,cross_tissue_stable,1,0.215025,0.730769,0.0
chr19,chr19:55000000-59999999,cross_tissue_stable,1,0.213104,0.619658,0.003281
chr13,chr13:20000000-24999999,cross_tissue_stable,1,0.212837,0.705128,0.001641
chr19,chr19:5000000-9999999,mixed_or_low_support,1,0.212447,0.568376,0.00082
chr9,chr9:15000000-19999999,mixed_or_low_support,1,0.211976,0.376068,0.001641
chr10,chr10:80000000-84999999,mixed_or_low_support,1,0.211952,0.269231,0.0
chr2,chr2:90000000-94999999,cross_tissue_stable,1,0.210771,0.75641,0.002461
chr10,chr10:70000000-74999999,cross_tissue_stable,1,0.209117,0.709402,0.001641
chr11,chr11:60000000-64999999,mixed_or_low_support,1,0.208272,0.547009,0.001641
chr11,chr11:50000000-54999999,mixed_or_low_support,1,0.207055,0.269231,0.005742
chr13,chr13:75000000-79999999,mixed_or_low_support,1,0.207043,0.508547,0.001641
chr17,chr17:20000000-24999999,mixed_or_low_support,1,0.205641,0.324786,0.0
chr14,chr14:65000000-69999999,cross_tissue_stable,1,0.199464,0.619658,0.00082
chr11,chr11:40000000-44999999,mixed_or_low_support,1,0.199193,0.534188,0.0
chr11,chr11:110000000-114999999,mixed_or_low_support,1,0.193423,0.350427,0.00082
chr18,chr18:80000000-84999999,mixed_or_low_support,1,0.192191,0.517094,0.0
chr9,chr9:110000000-114999999,mixed_or_low_support,1,0.18951,0.380342,0.00082
chr4,chr4:40000000-44999999,cross_tissue_stable,1,0.188916,0.84188,0.001641
chr17,chr17:30000000-34999999,mixed_or_low_support,1,0.188146,0.294872,0.0
chr5,chr5:125000000-129999999,mixed_or_low_support,1,0.185787,0.487179,0.0
chr5,chr5:50000000-54999999,mixed_or_low_support,1,0.185677,0.487179,0.0
chr12,chr12:100000000-104999999,mixed_or_low_support,1,0.174512,0.517094,0.0
chr7,chr7:40000000-44999999,mixed_or_low_support,1,0.172928,0.294872,0.001641
chr7,chr7:35000000-39999999,mixed_or_low_support,1,0.168967,0.269231,0.004102
chr9,chr9:90000000-94999999,mixed_or_low_support,1,0.168727,0.294872,0.0
chr9,chr9:35000000-39999999,cross_tissue_stable,1,0.161647,0.623932,0.001641
chr12,chr12:110000000-114999999,tissue_specific,1,0.156041,0.405983,0.055783
chr17,chr17:55000000-59999999,mixed_or_low_support,1,0.124081,0.461538,0.00082
chr8,chr8:25000000-29999999,cross_tissue_stable,1,0.121689,0.538462,0.0
