sample_id,file_role,path_or_uri,sha256,file_size_bytes,genome_assembly,processed_schema,notes
ROUTEA_MIN72_HEART_F_012W_R03,processed_coverage,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,
ROUTEA_MIN72_HEART_M_012W_R01,processed_coverage,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,
ROUTEA_MIN72_HEART_M_012W_R02,processed_coverage,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,
ROUTEA_MIN72_HEART_M_012W_R03,processed_coverage,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,
ROUTEA_MIN72_HEART_F_052W_R01,processed_coverage,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,
ROUTEA_MIN72_HEART_F_052W_R02,processed_coverage,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,
ROUTEA_MIN72_HEART_F_052W_R03,processed_coverage,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,
ROUTEA_MIN72_HEART_M_052W_R01,processed_coverage,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,
ROUTEA_MIN72_HEART_M_052W_R02,processed_coverage,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,
ROUTEA_MIN72_HEART_M_052W_R03,processed_coverage,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,
ROUTEA_MIN72_HEART_F_078W_R01,processed_coverage,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,
ROUTEA_MIN72_HEART_F_078W_R02,processed_coverage,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,
ROUTEA_MIN72_HEART_F_078W_R03,processed_coverage,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,
ROUTEA_MIN72_HEART_M_078W_R01,processed_coverage,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,
ROUTEA_MIN72_HEART_M_078W_R02,processed_coverage,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,
ROUTEA_MIN72_HEART_M_078W_R03,processed_coverage,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,
ROUTEA_MIN72_HEART_F_112W_R01,processed_coverage,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,
ROUTEA_MIN72_HEART_F_112W_R02,processed_coverage,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,
ROUTEA_MIN72_HEART_F_112W_R03,processed_coverage,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,
ROUTEA_MIN72_HEART_M_112W_R01,processed_coverage,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,
ROUTEA_MIN72_HEART_M_112W_R02,processed_coverage,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,
ROUTEA_MIN72_HEART_M_112W_R03,processed_coverage,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,
ROUTEA_MIN72_LUNG_F_012W_R01,processed_coverage,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,
ROUTEA_MIN72_LUNG_F_012W_R02,processed_coverage,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,
ROUTEA_MIN72_LUNG_F_012W_R03,processed_coverage,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,
ROUTEA_MIN72_LUNG_M_012W_R01,processed_coverage,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,
ROUTEA_MIN72_LUNG_M_012W_R02,processed_coverage,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,
ROUTEA_MIN72_LUNG_M_012W_R03,processed_coverage,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,
ROUTEA_MIN72_LUNG_F_052W_R01,processed_coverage,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,
ROUTEA_MIN72_LUNG_F_052W_R02,processed_coverage,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,
ROUTEA_MIN72_LUNG_F_052W_R03,processed_coverage,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,
ROUTEA_MIN72_LUNG_M_052W_R01,processed_coverage,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,
ROUTEA_MIN72_LUNG_M_052W_R02,processed_coverage,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,
ROUTEA_MIN72_LUNG_M_052W_R03,processed_coverage,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,
ROUTEA_MIN72_LUNG_F_078W_R01,processed_coverage,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,
ROUTEA_MIN72_LUNG_F_078W_R02,processed_coverage,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,
ROUTEA_MIN72_LUNG_F_078W_R03,processed_coverage,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,
ROUTEA_MIN72_LUNG_M_078W_R01,processed_coverage,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,
ROUTEA_MIN72_LUNG_M_078W_R02,processed_coverage,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,
ROUTEA_MIN72_LUNG_M_078W_R03,processed_coverage,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,
ROUTEA_MIN72_LUNG_F_112W_R01,processed_coverage,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,
ROUTEA_MIN72_LUNG_F_112W_R02,processed_coverage,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,
ROUTEA_MIN72_LUNG_F_112W_R03,processed_coverage,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,
ROUTEA_MIN72_LUNG_M_112W_R01,processed_coverage,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,
ROUTEA_MIN72_LUNG_M_112W_R02,processed_coverage,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,
ROUTEA_MIN72_LUNG_M_112W_R03,processed_coverage,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,
