chrom,start,end,cluster_5mb,target_id,model_name,feature_id,selection_count,mean_abs_selector_score,mean_selector_score,mean_feature_rank,mean_train_presence,age_pearson_r,age_pearson_p,missing_fraction,dataset_mean_shift,tissue_mean_shift,confounding_label,interpretation_note
chr18,6170000,6174999,chr18:5000000-9999999,age_weeks_raw_v24,ridge,chr18:6170000-6174999,2,0.8188992384550771,-0.16660139416606917,134.0,1.0,0.245615,0.190780607754604,0.0,0.035064,0.070748,candidate_signal,target-associated methylation signal; mechanism not inferred
chr6,130505000,130509999,chr6:130000000-134999999,age_weeks_raw_v24,ridge,chr6:130505000-130509999,1,0.9846681283997396,-0.9846681283997396,7.0,1.0,0.11747,0.5364334416618013,0.0,0.023916,0.29102,tissue_confounded,target-associated methylation signal; mechanism not inferred
chr1,54340000,54344999,chr1:50000000-54999999,age_weeks_raw_v24,ridge,chr1:54340000-54344999,1,0.9842961561101522,-0.9842961561101522,8.0,1.0,0.14732,0.43723620074404873,0.0,0.005103,0.297656,tissue_confounded,target-associated methylation signal; mechanism not inferred
chr11,72460000,72464999,chr11:70000000-74999999,age_weeks_raw_v24,ridge,chr11:72460000-72464999,1,0.9829961175410217,-0.9829961175410217,9.0,1.0,0.477062,0.0076849289519548124,0.0,0.170653,0.173281,candidate_signal,target-associated methylation signal; mechanism not inferred
chr9,57940000,57944999,chr9:55000000-59999999,age_weeks_raw_v24,ridge,chr9:57940000-57944999,1,0.982929576987001,-0.982929576987001,10.0,1.0,-0.463505,0.009888953667469995,0.0,0.121752,0.131378,candidate_signal,target-associated methylation signal; mechanism not inferred
chr17,19780000,19784999,chr17:15000000-19999999,age_weeks_raw_v24,ridge,chr17:19780000-19784999,1,0.982564594588718,-0.982564594588718,11.0,1.0,0.052944,0.7811215931668315,0.0,0.021057,0.216107,candidate_signal,target-associated methylation signal; mechanism not inferred
chr5,126005000,126009999,chr5:125000000-129999999,age_weeks_raw_v24,ridge,chr5:126005000-126009999,1,0.9824353719863638,-0.9824353719863638,12.0,1.0,0.398343,0.0292390397921285,0.0,0.212612,0.308681,tissue_confounded,target-associated methylation signal; mechanism not inferred
chr12,42710000,42714999,chr12:40000000-44999999,age_weeks_raw_v24,ridge,chr12:42710000-42714999,1,0.9812012146620491,-0.9812012146620491,13.0,1.0,0.170541,0.3675742614631553,0.0,0.036659,0.17485,candidate_signal,target-associated methylation signal; mechanism not inferred
chr10,70150000,70154999,chr10:70000000-74999999,age_weeks_raw_v24,ridge,chr10:70150000-70154999,1,0.9798189366389849,-0.9798189366389849,14.0,1.0,0.163095,0.38916306584037413,0.0,0.00057,0.05128,candidate_signal,target-associated methylation signal; mechanism not inferred
chr11,81895000,81899999,chr11:80000000-84999999,age_weeks_raw_v24,ridge,chr11:81895000-81899999,1,0.9795193476261458,-0.9795193476261458,15.0,1.0,0.565033,0.001140839686805965,0.0,0.024438,0.189226,candidate_signal,target-associated methylation signal; mechanism not inferred
chr12,54060000,54064999,chr12:50000000-54999999,age_weeks_raw_v24,ridge,chr12:54060000-54064999,1,0.9792942679794533,-0.9792942679794533,16.0,1.0,0.028414,0.881516399282355,0.0,0.008803,0.17768,candidate_signal,target-associated methylation signal; mechanism not inferred
chr11,43185000,43189999,chr11:40000000-44999999,age_weeks_raw_v24,ridge,chr11:43185000-43189999,1,0.9790001249503194,-0.9790001249503194,17.0,1.0,0.31155,0.09375273050432344,0.0,0.032691,0.033451,candidate_signal,target-associated methylation signal; mechanism not inferred
chr11,87585000,87589999,chr11:85000000-89999999,age_weeks_raw_v24,ridge,chr11:87585000-87589999,1,0.9781076722941472,-0.9781076722941472,18.0,1.0,0.436374,0.01591721650563168,0.0,0.054424,0.097301,candidate_signal,target-associated methylation signal; mechanism not inferred
chr11,79970000,79974999,chr11:75000000-79999999,age_weeks_raw_v24,ridge,chr11:79970000-79974999,1,0.978014239382331,0.978014239382331,19.0,1.0,0.132087,0.48656192576989377,0.0,0.025263,0.040997,candidate_signal,target-associated methylation signal; mechanism not inferred
chr11,61405000,61409999,chr11:60000000-64999999,age_weeks_raw_v24,ridge,chr11:61405000-61409999,1,0.9779587479581441,-0.9779587479581441,20.0,1.0,-0.453863,0.011761678068392335,0.0,0.386515,0.386594,dataset_confounded,target-associated methylation signal; mechanism not inferred
chr3,44905000,44909999,chr3:40000000-44999999,age_weeks_raw_v24,ridge,chr3:44905000-44909999,1,0.9772172289942725,-0.9772172289942725,21.0,1.0,0.144966,0.44467289348944933,0.0,0.046864,0.218737,candidate_signal,target-associated methylation signal; mechanism not inferred
chr9,88255000,88259999,chr9:85000000-89999999,age_weeks_raw_v24,ridge,chr9:88255000-88259999,1,0.9752832722985829,-0.9752832722985829,22.0,1.0,-0.404535,0.026600177879144288,0.0,0.010749,0.061509,candidate_signal,target-associated methylation signal; mechanism not inferred
chr1,167645000,167649999,chr1:165000000-169999999,age_weeks_raw_v24,ridge,chr1:167645000-167649999,1,0.975241713549406,-0.975241713549406,23.0,1.0,0.096669,0.6113311228880556,0.0,0.086022,0.228119,candidate_signal,target-associated methylation signal; mechanism not inferred
chr13,95815000,95819999,chr13:95000000-99999999,age_weeks_raw_v24,ridge,chr13:95815000-95819999,1,0.9745164468998387,-0.9745164468998387,24.0,1.0,0.108775,0.5672052512984852,0.0,0.000438,0.093217,candidate_signal,target-associated methylation signal; mechanism not inferred
chr7,127745000,127749999,chr7:125000000-129999999,age_weeks_raw_v24,ridge,chr7:127745000-127749999,1,0.9744519236444299,-0.9744519236444299,25.0,1.0,-0.280364,0.13344598939085794,0.0,0.110809,0.178514,candidate_signal,target-associated methylation signal; mechanism not inferred
chr3,103500000,103504999,chr3:100000000-104999999,age_weeks_raw_v24,ridge,chr3:103500000-103504999,1,0.9741551404884481,-0.9741551404884481,26.0,1.0,0.302101,0.10468939380051122,0.0,0.153125,0.187734,candidate_signal,target-associated methylation signal; mechanism not inferred
chr15,98690000,98694999,chr15:95000000-99999999,age_weeks_raw_v24,ridge,chr15:98690000-98694999,1,0.9732317231169263,-0.9732317231169263,27.0,1.0,0.032088,0.8663235737428393,0.0,0.027789,0.178986,candidate_signal,target-associated methylation signal; mechanism not inferred
chr2,71835000,71839999,chr2:70000000-74999999,age_weeks_raw_v24,ridge,chr2:71835000-71839999,1,0.971755443229325,-0.971755443229325,28.0,1.0,0.286726,0.12449200494652517,0.0,0.015769,0.11883,candidate_signal,target-associated methylation signal; mechanism not inferred
chr12,109615000,109619999,chr12:105000000-109999999,age_weeks_raw_v24,ridge,chr12:109615000-109619999,1,0.9711381360113511,-0.9711381360113511,29.0,1.0,-0.473414,0.00823245401318325,0.0,0.183652,0.184191,candidate_signal,target-associated methylation signal; mechanism not inferred
chr10,29490000,29494999,chr10:25000000-29999999,age_weeks_raw_v24,ridge,chr10:29490000-29494999,1,0.9709766576753617,-0.9709766576753617,30.0,1.0,0.050862,0.7895322127634072,0.0,0.0221,0.165128,candidate_signal,target-associated methylation signal; mechanism not inferred
chr1,89945000,89949999,chr1:85000000-89999999,age_weeks_raw_v24,ridge,chr1:89945000-89949999,1,0.9706483383081154,-0.9706483383081154,31.0,1.0,-0.236837,0.2076292209387158,0.0,0.016218,0.01779,candidate_signal,target-associated methylation signal; mechanism not inferred
chr5,142230000,142234999,chr5:140000000-144999999,age_weeks_raw_v24,ridge,chr5:142230000-142234999,1,0.9704600796275527,-0.9704600796275527,32.0,1.0,-0.061724,0.745922431825874,0.0,0.001798,0.100479,candidate_signal,target-associated methylation signal; mechanism not inferred
chr15,12435000,12439999,chr15:10000000-14999999,age_weeks_raw_v24,ridge,chr15:12435000-12439999,1,0.9704082713371827,-0.9704082713371827,33.0,1.0,-0.450045,0.012581201770818666,0.0,0.318111,0.322484,dataset_confounded,target-associated methylation signal; mechanism not inferred
chr4,103350000,103354999,chr4:100000000-104999999,age_weeks_raw_v24,ridge,chr4:103350000-103354999,1,0.9700544800411809,-0.9700544800411809,34.0,1.0,-0.314731,0.09027336471939802,0.0,0.130551,0.232083,candidate_signal,target-associated methylation signal; mechanism not inferred
chr1,57785000,57789999,chr1:55000000-59999999,age_weeks_raw_v24,ridge,chr1:57785000-57789999,1,0.9696566196955612,-0.9696566196955612,35.0,1.0,0.076395,0.6882422413857332,0.0,0.014884,0.170492,candidate_signal,target-associated methylation signal; mechanism not inferred
chr18,7175000,7179999,chr18:5000000-9999999,age_weeks_raw_v24,ridge,chr18:7175000-7179999,1,0.9690602949867512,0.9690602949867512,36.0,1.0,0.022913,0.9043403143398271,0.0,0.042068,0.22731,candidate_signal,target-associated methylation signal; mechanism not inferred
chr3,79740000,79744999,chr3:75000000-79999999,age_weeks_raw_v24,ridge,chr3:79740000-79744999,1,0.9689417206179933,-0.9689417206179933,37.0,1.0,0.239806,0.20182009017262942,0.0,0.006061,0.464903,tissue_confounded,target-associated methylation signal; mechanism not inferred
chr9,39690000,39694999,chr9:35000000-39999999,age_weeks_raw_v24,ridge,chr9:39690000-39694999,1,0.9688562829924087,-0.9688562829924087,38.0,1.0,-0.250734,0.1814060456658236,0.0,0.046534,0.097227,candidate_signal,target-associated methylation signal; mechanism not inferred
chr1,62595000,62599999,chr1:60000000-64999999,age_weeks_raw_v24,ridge,chr1:62595000-62599999,1,0.9679893320736124,-0.9679893320736124,39.0,1.0,0.37287,0.04242131778310967,0.0,0.17637,0.182165,candidate_signal,target-associated methylation signal; mechanism not inferred
chr16,78195000,78199999,chr16:75000000-79999999,age_weeks_raw_v24,ridge,chr16:78195000-78199999,1,0.9660216200729931,-0.9660216200729931,40.0,1.0,-0.305829,0.10026501727528817,0.0,0.060918,0.2584,tissue_confounded,target-associated methylation signal; mechanism not inferred
chr17,23365000,23369999,chr17:20000000-24999999,age_weeks_raw_v24,ridge,chr17:23365000-23369999,1,0.9656861740540775,-0.9656861740540775,41.0,1.0,0.064459,0.7350558859229779,0.0,0.013863,0.197501,candidate_signal,target-associated methylation signal; mechanism not inferred
chr19,50595000,50599999,chr19:50000000-54999999,age_weeks_raw_v24,ridge,chr19:50595000-50599999,1,0.9648740106057666,-0.9648740106057666,42.0,1.0,0.153521,0.417963461492043,0.0,0.032436,0.055189,candidate_signal,target-associated methylation signal; mechanism not inferred
chr10,70930000,70934999,chr10:70000000-74999999,age_weeks_raw_v24,ridge,chr10:70930000-70934999,1,0.9648086888054997,-0.9648086888054997,43.0,1.0,-0.374538,0.04143404919639141,0.0,0.019141,0.019278,candidate_signal,target-associated methylation signal; mechanism not inferred
chr11,117285000,117289999,chr11:115000000-119999999,age_weeks_raw_v24,ridge,chr11:117285000-117289999,1,0.9647711524235302,-0.9647711524235302,44.0,1.0,0.046804,0.8059936323262747,0.0,0.066188,0.067428,candidate_signal,target-associated methylation signal; mechanism not inferred
chr12,116280000,116284999,chr12:115000000-119999999,age_weeks_raw_v24,ridge,chr12:116280000-116284999,1,0.9646288548113193,0.9646288548113193,45.0,1.0,0.349415,0.05840387175582563,0.0,0.019222,0.019833,candidate_signal,target-associated methylation signal; mechanism not inferred
chr6,125445000,125449999,chr6:125000000-129999999,age_weeks_raw_v24,ridge,chr6:125445000-125449999,1,0.9645706590586597,-0.9645706590586597,46.0,1.0,0.122573,0.5187501033916665,0.0,0.14511,0.148067,candidate_signal,target-associated methylation signal; mechanism not inferred
chr1,90320000,90324999,chr1:90000000-94999999,age_weeks_raw_v24,ridge,chr1:90320000-90324999,1,0.9642498901404172,-0.9642498901404172,47.0,1.0,-0.169609,0.3702366029204761,0.0,0.107581,0.194299,candidate_signal,target-associated methylation signal; mechanism not inferred
chr15,98715000,98719999,chr15:95000000-99999999,age_weeks_raw_v24,ridge,chr15:98715000-98719999,1,0.9640646341258605,-0.9640646341258605,48.0,1.0,-0.424646,0.01933656726494604,0.0,0.042489,0.079292,candidate_signal,target-associated methylation signal; mechanism not inferred
chr9,75190000,75194999,chr9:75000000-79999999,age_weeks_raw_v24,ridge,chr9:75190000-75194999,1,0.9633114404209668,-0.9633114404209668,49.0,1.0,0.350706,0.05741646831461525,0.0,0.045979,0.33653,tissue_confounded,target-associated methylation signal; mechanism not inferred
chr8,75565000,75569999,chr8:75000000-79999999,age_weeks_raw_v24,ridge,chr8:75565000-75569999,1,0.9617259696743016,-0.9617259696743016,50.0,1.0,-0.060564,0.7505472664668601,0.0,0.086306,0.441034,tissue_confounded,target-associated methylation signal; mechanism not inferred
chr3,38890000,38894999,chr3:35000000-39999999,age_weeks_raw_v24,ridge,chr3:38890000-38894999,1,0.9615347169668671,-0.9615347169668671,51.0,1.0,-0.506867,0.004256609044398652,0.0,0.040412,0.041845,candidate_signal,target-associated methylation signal; mechanism not inferred
chr3,108465000,108469999,chr3:105000000-109999999,age_weeks_raw_v24,ridge,chr3:108465000-108469999,1,0.9611116449327158,-0.9611116449327158,52.0,1.0,0.390806,0.03273452777371589,0.0,0.132054,0.136123,candidate_signal,target-associated methylation signal; mechanism not inferred
chr14,55130000,55134999,chr14:55000000-59999999,age_weeks_raw_v24,ridge,chr14:55130000-55134999,1,0.960572030398189,0.960572030398189,53.0,1.0,-0.004733,0.9801964161131163,0.0,0.08336,0.086788,candidate_signal,target-associated methylation signal; mechanism not inferred
chr11,52285000,52289999,chr11:50000000-54999999,age_weeks_raw_v24,ridge,chr11:52285000-52289999,1,0.9601282614352864,-0.9601282614352864,54.0,1.0,0.339312,0.06659962111735664,0.0,0.115036,0.115778,candidate_signal,target-associated methylation signal; mechanism not inferred
chr7,84370000,84374999,chr7:80000000-84999999,age_weeks_raw_v24,ridge,chr7:84370000-84374999,1,0.9600077613102087,-0.9600077613102087,55.0,1.0,0.311497,0.09381168608580703,0.0,0.226362,0.230324,candidate_signal,target-associated methylation signal; mechanism not inferred
chr9,114755000,114759999,chr9:110000000-114999999,age_weeks_raw_v24,ridge,chr9:114755000-114759999,1,0.9596860044182033,-0.9596860044182033,56.0,1.0,-0.566071,0.0011118732298030865,0.0,0.182687,0.185021,candidate_signal,target-associated methylation signal; mechanism not inferred
chr9,56260000,56264999,chr9:55000000-59999999,age_weeks_raw_v24,ridge,chr9:56260000-56264999,1,0.9593142138715414,-0.9593142138715414,57.0,1.0,0.063312,0.7396097377124857,0.0,0.09571,0.098828,candidate_signal,target-associated methylation signal; mechanism not inferred
chr7,19700000,19704999,chr7:15000000-19999999,age_weeks_raw_v24,ridge,chr7:19700000-19704999,1,0.959200265498018,-0.959200265498018,58.0,1.0,0.421636,0.020305702051505805,0.0,0.244008,0.275285,tissue_confounded,target-associated methylation signal; mechanism not inferred
chr4,133090000,133094999,chr4:130000000-134999999,age_weeks_raw_v24,ridge,chr4:133090000-133094999,1,0.9589726270968475,-0.9589726270968475,59.0,1.0,-0.420007,0.020846618884227654,0.0,0.266668,0.26786,dataset_confounded,target-associated methylation signal; mechanism not inferred
chr7,126265000,126269999,chr7:125000000-129999999,age_weeks_raw_v24,ridge,chr7:126265000-126269999,1,0.9588178326312495,-0.9588178326312495,60.0,1.0,0.46774,0.009149602556836934,0.0,0.385881,0.43902,dataset_confounded,target-associated methylation signal; mechanism not inferred
chr2,148200000,148204999,chr2:145000000-149999999,age_weeks_raw_v24,ridge,chr2:148200000-148204999,1,0.9585175241324061,-0.9585175241324061,61.0,1.0,-0.204489,0.278388546120998,0.0,0.067804,0.069956,candidate_signal,target-associated methylation signal; mechanism not inferred
chr1,10935000,10939999,chr1:10000000-14999999,age_weeks_raw_v24,ridge,chr1:10935000-10939999,1,0.9582147924877479,-0.9582147924877479,62.0,1.0,-0.294632,0.11399034892365582,0.0,0.015423,0.056278,candidate_signal,target-associated methylation signal; mechanism not inferred
chr6,71680000,71684999,chr6:70000000-74999999,age_weeks_raw_v24,ridge,chr6:71680000-71684999,1,0.9581006529691974,-0.9581006529691974,63.0,1.0,-0.062347,0.7434418295266509,0.0,0.017684,0.113766,candidate_signal,target-associated methylation signal; mechanism not inferred
chr2,125500000,125504999,chr2:125000000-129999999,age_weeks_raw_v24,ridge,chr2:125500000-125504999,1,0.9578233636803114,-0.9578233636803114,64.0,1.0,0.565083,0.0011394295252558871,0.0,0.337998,0.382356,dataset_confounded,target-associated methylation signal; mechanism not inferred
chr9,57125000,57129999,chr9:55000000-59999999,age_weeks_raw_v24,ridge,chr9:57125000-57129999,1,0.9578129962043249,-0.9578129962043249,65.0,1.0,0.307907,0.09786142401373248,0.0,0.10497,0.105127,candidate_signal,target-associated methylation signal; mechanism not inferred
chr3,91790000,91794999,chr3:90000000-94999999,age_weeks_raw_v24,ridge,chr3:91790000-91794999,1,0.9574801732459883,-0.9574801732459883,66.0,1.0,0.302602,0.10408628346219746,0.0,0.018148,0.123874,candidate_signal,target-associated methylation signal; mechanism not inferred
chr2,99670000,99674999,chr2:95000000-99999999,age_weeks_raw_v24,ridge,chr2:99670000-99674999,1,0.9573555902248132,-0.9573555902248132,67.0,1.0,0.193103,0.30659562481053754,0.0,0.034175,0.268003,tissue_confounded,target-associated methylation signal; mechanism not inferred
chr2,73595000,73599999,chr2:70000000-74999999,age_weeks_raw_v24,ridge,chr2:73595000-73599999,1,0.9570743373026201,-0.9570743373026201,68.0,1.0,0.278649,0.13593913513926917,0.0,0.184461,0.187806,candidate_signal,target-associated methylation signal; mechanism not inferred
chr4,142570000,142574999,chr4:140000000-144999999,age_weeks_raw_v24,ridge,chr4:142570000-142574999,1,0.9566816306043948,-0.9566816306043948,69.0,1.0,0.436955,0.015762000271735556,0.0,0.245051,0.329619,tissue_confounded,target-associated methylation signal; mechanism not inferred
chr18,90275000,90279999,chr18:90000000-94999999,age_weeks_raw_v24,ridge,chr18:90275000-90279999,1,0.9565203809336786,0.9565203809336786,70.0,1.0,-0.140624,0.45857294690596906,0.0,0.08092,0.176681,candidate_signal,target-associated methylation signal; mechanism not inferred
chr19,44880000,44884999,chr19:40000000-44999999,age_weeks_raw_v24,ridge,chr19:44880000-44884999,1,0.9564245172745293,-0.9564245172745293,71.0,1.0,-0.312721,0.09246033847101462,0.0,0.153336,0.154683,candidate_signal,target-associated methylation signal; mechanism not inferred
chr2,38370000,38374999,chr2:35000000-39999999,age_weeks_raw_v24,ridge,chr2:38370000-38374999,1,0.9563923571465437,-0.9563923571465437,72.0,1.0,0.168105,0.37455664752460605,0.0,0.017256,0.105403,candidate_signal,target-associated methylation signal; mechanism not inferred
chr16,77595000,77599999,chr16:75000000-79999999,age_weeks_raw_v24,ridge,chr16:77595000-77599999,1,0.9558020313150252,-0.9558020313150252,73.0,1.0,0.479263,0.007369607724760517,0.0,0.336471,0.375305,dataset_confounded,target-associated methylation signal; mechanism not inferred
chr12,8545000,8549999,chr12:5000000-9999999,age_weeks_raw_v24,ridge,chr12:8545000-8549999,1,0.9556444956523172,-0.9556444956523172,74.0,1.0,-0.206514,0.27355229079748855,0.0,0.091702,0.231369,candidate_signal,target-associated methylation signal; mechanism not inferred
chr9,4580000,4584999,chr9:0-4999999,age_weeks_raw_v24,ridge,chr9:4580000-4584999,1,0.9556247112638366,-0.9556247112638366,75.0,1.0,-0.346696,0.060527047714068416,0.0,0.040109,0.070207,candidate_signal,target-associated methylation signal; mechanism not inferred
chr6,28615000,28619999,chr6:25000000-29999999,age_weeks_raw_v24,ridge,chr6:28615000-28619999,1,0.9554091551472601,-0.9554091551472601,76.0,1.0,0.326801,0.07795666949546906,0.0,0.141501,0.34802,tissue_confounded,target-associated methylation signal; mechanism not inferred
chr3,84345000,84349999,chr3:80000000-84999999,age_weeks_raw_v24,ridge,chr3:84345000-84349999,1,0.9553958520172077,-0.9553958520172077,77.0,1.0,-0.487143,0.006329254935753543,0.0,0.505203,0.508182,dataset_confounded,target-associated methylation signal; mechanism not inferred
chr1,180400000,180404999,chr1:180000000-184999999,age_weeks_raw_v24,ridge,chr1:180400000-180404999,1,0.9552322401327704,-0.9552322401327704,78.0,1.0,-0.529874,0.002599543242688122,0.0,0.232178,0.239312,candidate_signal,target-associated methylation signal; mechanism not inferred
chr14,105350000,105354999,chr14:105000000-109999999,age_weeks_raw_v24,ridge,chr14:105350000-105354999,1,0.9549174634217241,-0.9549174634217241,79.0,1.0,-0.387999,0.03411959839876697,0.0,0.119861,0.139287,candidate_signal,target-associated methylation signal; mechanism not inferred
chr4,135320000,135324999,chr4:135000000-139999999,age_weeks_raw_v24,ridge,chr4:135320000-135324999,1,0.9547010577741986,-0.9547010577741986,80.0,1.0,-0.083518,0.6608212174527012,0.0,0.021584,0.052546,candidate_signal,target-associated methylation signal; mechanism not inferred
chr19,24625000,24629999,chr19:20000000-24999999,age_weeks_raw_v24,ridge,chr19:24625000-24629999,1,0.9543527493148807,-0.9543527493148807,81.0,1.0,-0.353955,0.05499004405259638,0.0,0.115846,0.211952,candidate_signal,target-associated methylation signal; mechanism not inferred
chr6,90615000,90619999,chr6:90000000-94999999,age_weeks_raw_v24,ridge,chr6:90615000-90619999,1,0.9541041074425665,-0.9541041074425665,82.0,1.0,-0.223655,0.2348011206845641,0.0,0.073123,0.078294,candidate_signal,target-associated methylation signal; mechanism not inferred
chr8,82085000,82089999,chr8:80000000-84999999,age_weeks_raw_v24,ridge,chr8:82085000-82089999,1,0.9540226640061973,-0.9540226640061973,83.0,1.0,-0.408668,0.024949501315463002,0.0,0.134129,0.146901,candidate_signal,target-associated methylation signal; mechanism not inferred
chr17,47730000,47734999,chr17:45000000-49999999,age_weeks_raw_v24,ridge,chr17:47730000-47734999,1,0.9539199104361964,-0.9539199104361964,84.0,1.0,-0.395565,0.03049019561515941,0.0,0.048735,0.152013,candidate_signal,target-associated methylation signal; mechanism not inferred
chr3,109380000,109384999,chr3:105000000-109999999,age_weeks_raw_v24,ridge,chr3:109380000-109384999,1,0.9537510033215747,-0.9537510033215747,85.0,1.0,0.209104,0.26744742029236657,0.0,0.016167,0.136911,candidate_signal,target-associated methylation signal; mechanism not inferred
chr15,79165000,79169999,chr15:75000000-79999999,age_weeks_raw_v24,ridge,chr15:79165000-79169999,1,0.953406782057857,-0.953406782057857,86.0,1.0,0.351381,0.05690569567804667,0.0,0.246261,0.249999,candidate_signal,target-associated methylation signal; mechanism not inferred
chr18,61785000,61789999,chr18:60000000-64999999,age_weeks_raw_v24,ridge,chr18:61785000-61789999,1,0.9533252410940203,-0.9533252410940203,87.0,1.0,-0.338984,0.06687912954549785,0.0,0.278899,0.281186,dataset_confounded,target-associated methylation signal; mechanism not inferred
chr10,90575000,90579999,chr10:90000000-94999999,age_weeks_raw_v24,ridge,chr10:90575000-90579999,1,0.9532893366419966,-0.9532893366419966,88.0,1.0,0.449678,0.012662443981179466,0.0,0.51824,0.526627,dataset_confounded,target-associated methylation signal; mechanism not inferred
chr15,43865000,43869999,chr15:40000000-44999999,age_weeks_raw_v24,ridge,chr15:43865000-43869999,1,0.9532746594591015,-0.9532746594591015,89.0,1.0,0.101345,0.5941177473871604,0.0,0.077067,0.077157,candidate_signal,target-associated methylation signal; mechanism not inferred
chr13,95310000,95314999,chr13:95000000-99999999,age_weeks_raw_v24,ridge,chr13:95310000-95314999,1,0.9532321221658296,-0.9532321221658296,90.0,1.0,0.388882,0.03367898718149634,0.0,0.342085,0.342654,dataset_confounded,target-associated methylation signal; mechanism not inferred
chr19,10515000,10519999,chr19:10000000-14999999,age_weeks_raw_v24,ridge,chr19:10515000-10519999,1,0.953191575246614,-0.953191575246614,91.0,1.0,0.241587,0.19839041601330956,0.0,0.021885,0.022295,candidate_signal,target-associated methylation signal; mechanism not inferred
chr8,124340000,124344999,chr8:120000000-124999999,age_weeks_raw_v24,ridge,chr8:124340000-124344999,1,0.9530330334771251,-0.9530330334771251,92.0,1.0,-0.021653,0.9095760926839345,0.0,0.038691,0.039216,candidate_signal,target-associated methylation signal; mechanism not inferred
chr7,115470000,115474999,chr7:115000000-119999999,age_weeks_raw_v24,ridge,chr7:115470000-115474999,1,0.9526733600246079,-0.9526733600246079,93.0,1.0,0.266312,0.15487846778912476,0.0,0.33408,0.339312,dataset_confounded,target-associated methylation signal; mechanism not inferred
chr15,53845000,53849999,chr15:50000000-54999999,age_weeks_raw_v24,ridge,chr15:53845000-53849999,1,0.9526447963537462,-0.9526447963537462,94.0,1.0,0.141539,0.4556277504167037,0.0,0.005918,0.179746,candidate_signal,target-associated methylation signal; mechanism not inferred
chr4,62200000,62204999,chr4:60000000-64999999,age_weeks_raw_v24,ridge,chr4:62200000-62204999,1,0.952436244600438,-0.952436244600438,95.0,1.0,0.084382,0.6575262503275879,0.0,0.046256,0.125766,candidate_signal,target-associated methylation signal; mechanism not inferred
