dataset,run_accession,gsm,sample_accession,experiment_accession,experiment_title,library_strategy,library_source,library_selection,library_layout,local_fastq_count,local_fastq_complete,expected_fastq,latest_log_status,latest_log_failure_count,latest_log_error_class,recommended_repair_action,run_total_bases,run_total_spots
GSE120137,SRR7871556,GSM3394238,SRS3796333,SRX4710635,GSM3394238: Mouse_Blood_SH014; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,SINGLE,0,False,single FASTQ (any run-prefixed FASTQ),,,not_attempted_or_log_missing,schedule missing run after dataset-level priority and metadata gate; prefer ENA direct FASTQ for large batches,1333494819,13202919
GSE120137,SRR7871557,GSM3394239,SRS3796334,SRX4710636,GSM3394239: Mouse_Blood_SH015; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,SINGLE,0,False,single FASTQ (any run-prefixed FASTQ),,,not_attempted_or_log_missing,schedule missing run after dataset-level priority and metadata gate; prefer ENA direct FASTQ for large batches,1103385307,10924607
GSE120137,SRR7871558,GSM3394240,SRS3796335,SRX4710637,GSM3394240: Mouse_Blood_SH016; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,SINGLE,0,False,single FASTQ (any run-prefixed FASTQ),,,not_attempted_or_log_missing,schedule missing run after dataset-level priority and metadata gate; prefer ENA direct FASTQ for large batches,925642174,9164774
GSE120137,SRR7871559,GSM3394241,SRS3796336,SRX4710638,GSM3394241: Mouse_Blood_SH017; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,SINGLE,0,False,single FASTQ (any run-prefixed FASTQ),,,not_attempted_or_log_missing,schedule missing run after dataset-level priority and metadata gate; prefer ENA direct FASTQ for large batches,3654627632,36184432
GSE120137,SRR7871560,GSM3394242,SRS3796338,SRX4710639,GSM3394242: Mouse_Blood_SH018; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,SINGLE,0,False,single FASTQ (any run-prefixed FASTQ),,,not_attempted_or_log_missing,schedule missing run after dataset-level priority and metadata gate; prefer ENA direct FASTQ for large batches,2540541880,25153880
GSE120137,SRR7871562,GSM3394244,SRS3796339,SRX4710641,GSM3394244: Mouse_Blood_SH020; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,SINGLE,0,False,single FASTQ (any run-prefixed FASTQ),,,not_attempted_or_log_missing,schedule missing run after dataset-level priority and metadata gate; prefer ENA direct FASTQ for large batches,3691722811,36551711
GSE120137,SRR7871563,GSM3394245,SRS3796341,SRX4710642,GSM3394245: Mouse_Blood_SH030; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,SINGLE,0,False,single FASTQ (any run-prefixed FASTQ),,,not_attempted_or_log_missing,schedule missing run after dataset-level priority and metadata gate; prefer ENA direct FASTQ for large batches,4078089928,40377128
GSE120137,SRR7871564,GSM3394246,SRS3796340,SRX4710643,GSM3394246: Mouse_Blood_SH033; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,SINGLE,0,False,single FASTQ (any run-prefixed FASTQ),,,not_attempted_or_log_missing,schedule missing run after dataset-level priority and metadata gate; prefer ENA direct FASTQ for large batches,3426071500,33921500
GSE120137,SRR7871565,GSM3394247,SRS3796343,SRX4710644,GSM3394247: Mouse_Blood_SH034; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,SINGLE,0,False,single FASTQ (any run-prefixed FASTQ),,,not_attempted_or_log_missing,schedule missing run after dataset-level priority and metadata gate; prefer ENA direct FASTQ for large batches,3649050008,36129208
GSE120137,SRR7871566,GSM3394248,SRS3796344,SRX4710645,GSM3394248: Mouse_Blood_SH035; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,SINGLE,0,False,single FASTQ (any run-prefixed FASTQ),,,not_attempted_or_log_missing,schedule missing run after dataset-level priority and metadata gate; prefer ENA direct FASTQ for large batches,3119824956,30889356
GSE120137,SRR7871567,GSM3394249,SRS3796342,SRX4710646,GSM3394249: Mouse_Blood_SH036; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,SINGLE,0,False,single FASTQ (any run-prefixed FASTQ),,,not_attempted_or_log_missing,schedule missing run after dataset-level priority and metadata gate; prefer ENA direct FASTQ for large batches,2206829598,21849798
GSE120137,SRR7871568,GSM3394250,SRS3796345,SRX4710647,GSM3394250: Mouse_Blood_SH037; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,SINGLE,0,False,single FASTQ (any run-prefixed FASTQ),,,not_attempted_or_log_missing,schedule missing run after dataset-level priority and metadata gate; prefer ENA direct FASTQ for large batches,3743459859,37063959
GSE120137,SRR7871569,GSM3394251,SRS3796346,SRX4710648,GSM3394251: Mouse_Blood_SH038; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,SINGLE,0,False,single FASTQ (any run-prefixed FASTQ),,,not_attempted_or_log_missing,schedule missing run after dataset-level priority and metadata gate; prefer ENA direct FASTQ for large batches,3144572279,31134379
GSE120137,SRR7871570,GSM3394252,SRS3796347,SRX4710649,GSM3394252: Mouse_Blood_SH039; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,SINGLE,0,False,single FASTQ (any run-prefixed FASTQ),,,not_attempted_or_log_missing,schedule missing run after dataset-level priority and metadata gate; prefer ENA direct FASTQ for large batches,3099015118,30683318
GSE120137,SRR7871571,GSM3394253,SRS3796348,SRX4710650,GSM3394253: Mouse_Blood_SH040; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,SINGLE,0,False,single FASTQ (any run-prefixed FASTQ),,,not_attempted_or_log_missing,schedule missing run after dataset-level priority and metadata gate; prefer ENA direct FASTQ for large batches,4998281031,49487931
GSE120137,SRR7871572,GSM3394254,SRS3796350,SRX4710651,GSM3394254: Mouse_Blood_SH041; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,SINGLE,0,False,single FASTQ (any run-prefixed FASTQ),,,not_attempted_or_log_missing,schedule missing run after dataset-level priority and metadata gate; prefer ENA direct FASTQ for large batches,2343226361,23200261
GSE120137,SRR7871573,GSM3394255,SRS3796349,SRX4710652,GSM3394255: Mouse_Blood_SH045; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,SINGLE,0,False,single FASTQ (any run-prefixed FASTQ),,,not_attempted_or_log_missing,schedule missing run after dataset-level priority and metadata gate; prefer ENA direct FASTQ for large batches,3143454108,31123308
GSE120137,SRR7871574,GSM3394256,SRS3796351,SRX4710653,GSM3394256: Mouse_Blood_SH056; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,SINGLE,0,False,single FASTQ (any run-prefixed FASTQ),,,not_attempted_or_log_missing,schedule missing run after dataset-level priority and metadata gate; prefer ENA direct FASTQ for large batches,3290442539,32578639
GSE120137,SRR7871575,GSM3394257,SRS3796352,SRX4710654,GSM3394257: Mouse_Blood_SH057; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,SINGLE,0,False,single FASTQ (any run-prefixed FASTQ),,,not_attempted_or_log_missing,schedule missing run after dataset-level priority and metadata gate; prefer ENA direct FASTQ for large batches,2582279726,25567126
GSE120137,SRR7871576,GSM3394258,SRS3796354,SRX4710655,GSM3394258: Mouse_Blood_SH058; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,SINGLE,0,False,single FASTQ (any run-prefixed FASTQ),,,not_attempted_or_log_missing,schedule missing run after dataset-level priority and metadata gate; prefer ENA direct FASTQ for large batches,2504331562,24795362
GSE120137,SRR7871578,GSM3394260,SRS3796355,SRX4710657,GSM3394260: Mouse_Blood_SH061; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,SINGLE,0,False,single FASTQ (any run-prefixed FASTQ),,,not_attempted_or_log_missing,schedule missing run after dataset-level priority and metadata gate; prefer ENA direct FASTQ for large batches,3722354899,36854999
GSE120137,SRR7871579,GSM3394261,SRS3796356,SRX4710658,GSM3394261: Mouse_Blood_SH062; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,SINGLE,0,False,single FASTQ (any run-prefixed FASTQ),,,not_attempted_or_log_missing,schedule missing run after dataset-level priority and metadata gate; prefer ENA direct FASTQ for large batches,3392730289,33591389
GSE120137,SRR7871580,GSM3394262,SRS3796357,SRX4710659,GSM3394262: Mouse_Blood_SH063; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,SINGLE,0,False,single FASTQ (any run-prefixed FASTQ),,,not_attempted_or_log_missing,schedule missing run after dataset-level priority and metadata gate; prefer ENA direct FASTQ for large batches,3038429258,30083458
GSE120137,SRR7871581,GSM3394263,SRS3796358,SRX4710660,GSM3394263: Mouse_Blood_SH064; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,SINGLE,0,False,single FASTQ (any run-prefixed FASTQ),,,not_attempted_or_log_missing,schedule missing run after dataset-level priority and metadata gate; prefer ENA direct FASTQ for large batches,3023427930,29934930
GSE120137,SRR7871583,GSM3394265,SRS3796360,SRX4710662,GSM3394265: Mouse_Blood_SH066; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,SINGLE,0,False,single FASTQ (any run-prefixed FASTQ),,,not_attempted_or_log_missing,schedule missing run after dataset-level priority and metadata gate; prefer ENA direct FASTQ for large batches,2916616087,28877387
GSE120137,SRR7871584,GSM3394266,SRS3796361,SRX4710663,GSM3394266: Mouse_Blood_SH067; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,SINGLE,0,False,single FASTQ (any run-prefixed FASTQ),,,not_attempted_or_log_missing,schedule missing run after dataset-level priority and metadata gate; prefer ENA direct FASTQ for large batches,3243600658,32114858
GSE120137,SRR7871585,GSM3394267,SRS3796362,SRX4710664,GSM3394267: Mouse_Blood_SH068; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,SINGLE,0,False,single FASTQ (any run-prefixed FASTQ),,,not_attempted_or_log_missing,schedule missing run after dataset-level priority and metadata gate; prefer ENA direct FASTQ for large batches,2618178055,25922555
GSE120137,SRR7871586,GSM3394268,SRS3796363,SRX4710665,GSM3394268: Mouse_Blood_SH069; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,SINGLE,0,False,single FASTQ (any run-prefixed FASTQ),,,not_attempted_or_log_missing,schedule missing run after dataset-level priority and metadata gate; prefer ENA direct FASTQ for large batches,2671528477,26450777
GSE120137,SRR7871587,GSM3394269,SRS3796364,SRX4710666,GSM3394269: Mouse_Blood_SH070; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,SINGLE,0,False,single FASTQ (any run-prefixed FASTQ),,,not_attempted_or_log_missing,schedule missing run after dataset-level priority and metadata gate; prefer ENA direct FASTQ for large batches,3017620733,29877433
GSE120137,SRR7871588,GSM3394270,SRS3796366,SRX4710667,GSM3394270: Mouse_Blood_SH071; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,SINGLE,0,False,single FASTQ (any run-prefixed FASTQ),,,not_attempted_or_log_missing,schedule missing run after dataset-level priority and metadata gate; prefer ENA direct FASTQ for large batches,3249214541,32170441
GSE120137,SRR7871589,GSM3394271,SRS3796365,SRX4710668,GSM3394271: Mouse_Blood_SH072; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,SINGLE,0,False,single FASTQ (any run-prefixed FASTQ),,,not_attempted_or_log_missing,schedule missing run after dataset-level priority and metadata gate; prefer ENA direct FASTQ for large batches,3017963628,29880828
GSE120137,SRR7871590,GSM3394272,SRS3796367,SRX4710669,GSM3394272: Mouse_Blood_SH073; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,SINGLE,0,False,single FASTQ (any run-prefixed FASTQ),,,not_attempted_or_log_missing,schedule missing run after dataset-level priority and metadata gate; prefer ENA direct FASTQ for large batches,2795687777,27680077
GSE120137,SRR7871591,GSM3394273,SRS3796368,SRX4710670,GSM3394273: Mouse_Blood_SH074; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,SINGLE,0,False,single FASTQ (any run-prefixed FASTQ),,,not_attempted_or_log_missing,schedule missing run after dataset-level priority and metadata gate; prefer ENA direct FASTQ for large batches,3157042547,31257847
GSE120137,SRR7871592,GSM3394274,SRS3796369,SRX4710671,GSM3394274: Mouse_Blood_SH075; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,SINGLE,0,False,single FASTQ (any run-prefixed FASTQ),,,not_attempted_or_log_missing,schedule missing run after dataset-level priority and metadata gate; prefer ENA direct FASTQ for large batches,3269017712,32366512
GSE120137,SRR7871593,GSM3394275,SRS3796370,SRX4710672,GSM3394275: Mouse_Blood_SH076; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,SINGLE,0,False,single FASTQ (any run-prefixed FASTQ),,,not_attempted_or_log_missing,schedule missing run after dataset-level priority and metadata gate; prefer ENA direct FASTQ for large batches,2933515407,29044707
GSE120137,SRR7871594,GSM3394276,SRS3796371,SRX4710673,GSM3394276: Mouse_Blood_SH077; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,SINGLE,0,False,single FASTQ (any run-prefixed FASTQ),,,not_attempted_or_log_missing,schedule missing run after dataset-level priority and metadata gate; prefer ENA direct FASTQ for large batches,3455157581,34209481
GSE120137,SRR7871595,GSM3394277,SRS3796372,SRX4710674,GSM3394277: Mouse_Blood_SH078; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,SINGLE,0,False,single FASTQ (any run-prefixed FASTQ),,,not_attempted_or_log_missing,schedule missing run after dataset-level priority and metadata gate; prefer ENA direct FASTQ for large batches,3515077144,34802744
GSE120137,SRR7871596,GSM3394278,SRS3796373,SRX4710675,GSM3394278: Mouse_Blood_SH079; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,SINGLE,0,False,single FASTQ (any run-prefixed FASTQ),,,not_attempted_or_log_missing,schedule missing run after dataset-level priority and metadata gate; prefer ENA direct FASTQ for large batches,3443007584,34089184
GSE120137,SRR7871597,GSM3394279,SRS3796374,SRX4710676,GSM3394279: Mouse_Blood_SH080; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,SINGLE,0,False,single FASTQ (any run-prefixed FASTQ),,,not_attempted_or_log_missing,schedule missing run after dataset-level priority and metadata gate; prefer ENA direct FASTQ for large batches,3131368448,31003648
GSE120137,SRR7871598,GSM3394280,SRS3796375,SRX4710677,GSM3394280: Mouse_Blood_SH081; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,SINGLE,0,False,single FASTQ (any run-prefixed FASTQ),,,not_attempted_or_log_missing,schedule missing run after dataset-level priority and metadata gate; prefer ENA direct FASTQ for large batches,3113279146,30824546
GSE120137,SRR7871599,GSM3394281,SRS3796376,SRX4710678,GSM3394281: Mouse_Blood_SH082; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,SINGLE,0,False,single FASTQ (any run-prefixed FASTQ),,,not_attempted_or_log_missing,schedule missing run after dataset-level priority and metadata gate; prefer ENA direct FASTQ for large batches,3637562571,36015471
GSE120137,SRR7871600,GSM3394282,SRS3796377,SRX4710679,GSM3394282: Mouse_Blood_SH083; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,SINGLE,0,False,single FASTQ (any run-prefixed FASTQ),,,not_attempted_or_log_missing,schedule missing run after dataset-level priority and metadata gate; prefer ENA direct FASTQ for large batches,4215471441,41737341
GSE120137,SRR7871601,GSM3394283,SRS3796378,SRX4710680,GSM3394283: Mouse_Blood_SH084; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,SINGLE,0,False,single FASTQ (any run-prefixed FASTQ),,,not_attempted_or_log_missing,schedule missing run after dataset-level priority and metadata gate; prefer ENA direct FASTQ for large batches,4099145196,40585596
GSE120137,SRR7871602,GSM3394284,SRS3796379,SRX4710681,GSM3394284: Mouse_Blood_SH085; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,SINGLE,0,False,single FASTQ (any run-prefixed FASTQ),,,not_attempted_or_log_missing,schedule missing run after dataset-level priority and metadata gate; prefer ENA direct FASTQ for large batches,3346035565,33129065
GSE120137,SRR7871603,GSM3394285,SRS3796380,SRX4710682,GSM3394285: Mouse_Blood_SH086; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,SINGLE,0,False,single FASTQ (any run-prefixed FASTQ),,,not_attempted_or_log_missing,schedule missing run after dataset-level priority and metadata gate; prefer ENA direct FASTQ for large batches,3344442189,33113289
GSE120137,SRR7871604,GSM3394286,SRS3796381,SRX4710683,GSM3394286: Mouse_Blood_SH087; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,SINGLE,0,False,single FASTQ (any run-prefixed FASTQ),,,not_attempted_or_log_missing,schedule missing run after dataset-level priority and metadata gate; prefer ENA direct FASTQ for large batches,4313204192,42704992
GSE120137,SRR7871605,GSM3394287,SRS3796483,SRX4710684,GSM3394287: Mouse_Blood_SH088; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,SINGLE,0,False,single FASTQ (any run-prefixed FASTQ),,,not_attempted_or_log_missing,schedule missing run after dataset-level priority and metadata gate; prefer ENA direct FASTQ for large batches,2974035698,29445898
GSE120137,SRR7871606,GSM3394288,SRS3796382,SRX4710685,GSM3394288: Mouse_Blood_SH089; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,SINGLE,0,False,single FASTQ (any run-prefixed FASTQ),,,not_attempted_or_log_missing,schedule missing run after dataset-level priority and metadata gate; prefer ENA direct FASTQ for large batches,3348887098,33157298
GSE120137,SRR7871607,GSM3394289,SRS3796384,SRX4710686,GSM3394289: Mouse_Blood_SH090; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,SINGLE,0,False,single FASTQ (any run-prefixed FASTQ),,,not_attempted_or_log_missing,schedule missing run after dataset-level priority and metadata gate; prefer ENA direct FASTQ for large batches,3234791842,32027642
GSE120137,SRR7871608,GSM3394290,SRS3796383,SRX4710687,GSM3394290: Mouse_Blood_SH091; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,SINGLE,0,False,single FASTQ (any run-prefixed FASTQ),,,not_attempted_or_log_missing,schedule missing run after dataset-level priority and metadata gate; prefer ENA direct FASTQ for large batches,3708836453,36721153
GSE120137,SRR7871609,GSM3394291,SRS3796385,SRX4710688,GSM3394291: Mouse_Blood_SH092; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,SINGLE,0,False,single FASTQ (any run-prefixed FASTQ),,,not_attempted_or_log_missing,schedule missing run after dataset-level priority and metadata gate; prefer ENA direct FASTQ for large batches,3468259200,34339200
GSE120137,SRR7871610,GSM3394292,SRS3796386,SRX4710689,GSM3394292: Mouse_Blood_SH093; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,SINGLE,0,False,single FASTQ (any run-prefixed FASTQ),,,not_attempted_or_log_missing,schedule missing run after dataset-level priority and metadata gate; prefer ENA direct FASTQ for large batches,3005877373,42369021
GSE120137,SRR7871611,GSM3394293,SRS3796389,SRX4710690,GSM3394293: Mouse_Blood_SH094; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,SINGLE,0,False,single FASTQ (any run-prefixed FASTQ),,,not_attempted_or_log_missing,schedule missing run after dataset-level priority and metadata gate; prefer ENA direct FASTQ for large batches,3710739798,36739998
GSE120137,SRR7871612,GSM3394294,SRS3796388,SRX4710691,GSM3394294: Mouse_Blood_SH095; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,SINGLE,0,False,single FASTQ (any run-prefixed FASTQ),,,not_attempted_or_log_missing,schedule missing run after dataset-level priority and metadata gate; prefer ENA direct FASTQ for large batches,4788556753,47411453
GSE120137,SRR7871613,GSM3394295,SRS3796387,SRX4710692,GSM3394295: Mouse_Blood_SH096; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,SINGLE,0,False,single FASTQ (any run-prefixed FASTQ),,,not_attempted_or_log_missing,schedule missing run after dataset-level priority and metadata gate; prefer ENA direct FASTQ for large batches,3392425471,33588371
GSE120137,SRR7871614,GSM3394296,SRS3796390,SRX4710693,GSM3394296: Mouse_Blood_SH097; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,SINGLE,0,False,single FASTQ (any run-prefixed FASTQ),,,not_attempted_or_log_missing,schedule missing run after dataset-level priority and metadata gate; prefer ENA direct FASTQ for large batches,2209303290,21874290
GSE120137,SRR7871615,GSM3394297,SRS3796391,SRX4710694,GSM3394297: Mouse_Blood_SH098; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,SINGLE,0,False,single FASTQ (any run-prefixed FASTQ),,,not_attempted_or_log_missing,schedule missing run after dataset-level priority and metadata gate; prefer ENA direct FASTQ for large batches,2864248698,28358898
GSE120137,SRR7871616,GSM3394298,SRS3796392,SRX4710695,GSM3394298: Mouse_Blood_SH099; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,SINGLE,0,False,single FASTQ (any run-prefixed FASTQ),,,not_attempted_or_log_missing,schedule missing run after dataset-level priority and metadata gate; prefer ENA direct FASTQ for large batches,3864175766,38259166
GSE120137,SRR7871617,GSM3394299,SRS3796393,SRX4710696,GSM3394299: Mouse_Blood_SH100; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,SINGLE,0,False,single FASTQ (any run-prefixed FASTQ),,,not_attempted_or_log_missing,schedule missing run after dataset-level priority and metadata gate; prefer ENA direct FASTQ for large batches,3404884831,33711731
GSE120137,SRR7871626,GSM3394308,SRS3796402,SRX4710705,GSM3394308: Mouse_Kidney_SH009; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,SINGLE,0,False,single FASTQ (any run-prefixed FASTQ),,,not_attempted_or_log_missing,schedule missing run after dataset-level priority and metadata gate; prefer ENA direct FASTQ for large batches,1776319926,17587326
GSE120137,SRR7871634,GSM3394316,SRS3796410,SRX4710713,GSM3394316: Mouse_Kidney_SH017; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,SINGLE,0,False,single FASTQ (any run-prefixed FASTQ),,,not_attempted_or_log_missing,schedule missing run after dataset-level priority and metadata gate; prefer ENA direct FASTQ for large batches,2046416752,20261552
GSE120137,SRR7871635,GSM3394317,SRS3796411,SRX4710714,GSM3394317: Mouse_Kidney_SH018; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,SINGLE,0,False,single FASTQ (any run-prefixed FASTQ),,,not_attempted_or_log_missing,schedule missing run after dataset-level priority and metadata gate; prefer ENA direct FASTQ for large batches,905298653,8963353
