chrom,start,end,cluster_5mb,target_id,model_name,feature_id,selection_count,mean_abs_selector_score,mean_selector_score,mean_feature_rank,mean_train_presence,age_pearson_r,age_pearson_p,missing_fraction,dataset_mean_shift,tissue_mean_shift,confounding_label,interpretation_note
chr6,77975000,77979999,chr6:75000000-79999999,age_weeks,lgbm,chr6:77975000-77979999,5,0.5272987670524966,0.5272987670524966,12.2,0.9973675836845086,0.534849,6.336689325107945e-91,0.002461,0.075869,0.080095,candidate_signal,target-associated methylation signal; mechanism not inferred
chr2,74655000,74659999,chr2:70000000-74999999,age_weeks,lgbm,chr2:74655000-74659999,5,0.4783646237444441,0.4783646237444442,52.8,1.0,0.464088,3.912783405984809e-66,0.0,0.11834,0.232507,candidate_signal,target-associated methylation signal; mechanism not inferred
chr4,36950000,36954999,chr4:35000000-39999999,age_weeks,lgbm,chr4:36950000-36954999,5,0.4776762814753595,0.4776762814753595,47.2,0.9991261664302235,0.473065,6.171654453245829e-69,0.00082,0.090966,0.173398,candidate_signal,target-associated methylation signal; mechanism not inferred
chr4,49845000,49849999,chr4:45000000-49999999,age_weeks,lgbm,chr4:49845000-49849999,5,0.4763604955042374,0.4763604955042373,85.0,0.9964882923116513,0.482763,6.065597685386183e-72,0.003281,0.072365,0.125133,candidate_signal,target-associated methylation signal; mechanism not inferred
chr14,123625000,123629999,chr14:120000000-124999999,age_weeks,lgbm,chr14:123625000-123629999,5,0.4739378650488756,0.4739378650488756,90.4,0.9754673897552527,0.483211,1.0567202429387773e-70,0.02297,0.150059,0.252337,tissue_confounded,target-associated methylation signal; mechanism not inferred
chr1,193035000,193039999,chr1:190000000-194999999,age_weeks,lgbm,chr1:193035000-193039999,5,0.47305588387615033,0.47305588387615033,111.4,0.9824250881490135,0.480138,3.67497168763312e-70,0.016407,0.059287,0.095841,candidate_signal,target-associated methylation signal; mechanism not inferred
chr2,109675000,109679999,chr2:105000000-109999999,age_weeks,lgbm,chr2:109675000-109679999,5,0.4717212939961546,0.4717212939961546,69.2,0.9991261664302235,0.472774,7.662143669074057e-69,0.00082,0.091088,0.172637,candidate_signal,target-associated methylation signal; mechanism not inferred
chr18,9705000,9709999,chr18:5000000-9999999,age_weeks,lgbm,chr18:9705000-9709999,5,0.47041146642230103,0.47041146642230103,128.0,1.0,0.480175,2.577689694951458e-71,0.0,0.054609,0.073122,candidate_signal,target-associated methylation signal; mechanism not inferred
chr1,32170000,32174999,chr1:30000000-34999999,age_weeks,lgbm,chr1:32170000-32174999,5,0.4686137688554239,0.468613768855424,71.8,1.0,0.457888,3.284296781271312e-64,0.0,0.150944,0.288723,tissue_confounded,target-associated methylation signal; mechanism not inferred
chr19,17835000,17839999,chr19:15000000-19999999,age_weeks,lgbm,chr19:17835000-17839999,5,0.4680685001889479,0.4680685001889479,63.4,1.0,0.472492,8.318505131001617e-69,0.0,0.054649,0.082528,candidate_signal,target-associated methylation signal; mechanism not inferred
chr6,83700000,83704999,chr6:80000000-84999999,age_weeks,lgbm,chr6:83700000-83704999,5,0.46558629928174317,0.4655862992817433,78.8,0.9991261664302235,0.466078,1.0460555420738066e-66,0.00082,0.054,0.070616,candidate_signal,target-associated methylation signal; mechanism not inferred
chr3,34650000,34654999,chr3:30000000-34999999,age_weeks,lgbm,chr3:34650000-34654999,5,0.4641748706930894,0.4641748706930893,72.2,1.0,0.462682,1.0764517300928105e-65,0.0,0.07103,0.130955,candidate_signal,target-associated methylation signal; mechanism not inferred
chr8,121115000,121119999,chr8:120000000-124999999,age_weeks,lgbm,chr8:121115000-121119999,5,0.46324399930892507,0.46324399930892507,79.8,1.0,0.456265,1.0319669780299426e-63,0.0,0.133386,0.24257,candidate_signal,target-associated methylation signal; mechanism not inferred
chr9,8900000,8904999,chr9:5000000-9999999,age_weeks,lgbm,chr9:8900000-8904999,5,0.462914549072911,0.462914549072911,70.0,1.0,0.465801,1.1316600068927271e-66,0.0,0.045593,0.087361,candidate_signal,target-associated methylation signal; mechanism not inferred
chr13,72625000,72629999,chr13:70000000-74999999,age_weeks,lgbm,chr13:72625000-72629999,5,0.46065834561686236,0.46065834561686236,76.6,1.0,0.457623,3.9615901271406485e-64,0.0,0.078786,0.124617,candidate_signal,target-associated methylation signal; mechanism not inferred
chr8,23665000,23669999,chr8:20000000-24999999,age_weeks,lgbm,chr8:23665000-23669999,5,0.4601763591034988,0.4601763591034988,89.2,1.0,0.461028,3.5223911295312777e-65,0.0,0.063567,0.088339,candidate_signal,target-associated methylation signal; mechanism not inferred
chr2,74690000,74694999,chr2:70000000-74999999,age_weeks,lgbm,chr2:74690000-74694999,5,0.4597169357511753,0.4597169357511753,78.2,1.0,0.461108,3.3267829710825595e-65,0.0,0.086618,0.166247,candidate_signal,target-associated methylation signal; mechanism not inferred
chr4,104365000,104369999,chr4:100000000-104999999,age_weeks,lgbm,chr4:104365000-104369999,5,0.4594500689681379,0.4594500689681379,146.6,1.0,0.466776,5.5681504756612894e-67,0.0,0.059348,0.096503,candidate_signal,target-associated methylation signal; mechanism not inferred
chr6,64730000,64734999,chr6:60000000-64999999,age_weeks,lgbm,chr6:64730000-64734999,5,0.45938173646299985,0.4593817364629998,84.8,0.9973730414875893,0.466245,1.1856134923690403e-66,0.002461,0.038968,0.065587,candidate_signal,target-associated methylation signal; mechanism not inferred
chr12,27340000,27344999,chr12:25000000-29999999,age_weeks,lgbm,chr12:27340000-27344999,5,0.45889790285165705,0.45889790285165705,209.8,1.0,0.467031,4.624314495401937e-67,0.0,0.088173,0.131075,candidate_signal,target-associated methylation signal; mechanism not inferred
chr13,118710000,118714999,chr13:115000000-119999999,age_weeks,lgbm,chr13:118710000-118714999,5,0.4582497968153274,0.4582497968153274,149.2,0.9920918354473642,0.467933,7.305201174206532e-67,0.007383,0.061255,0.100402,candidate_signal,target-associated methylation signal; mechanism not inferred
chr18,15755000,15759999,chr18:15000000-19999999,age_weeks,lgbm,chr18:15755000-15759999,5,0.45797364290513276,0.45797364290513276,89.8,0.9876953785830771,0.462705,5.753552620463422e-65,0.011485,0.091679,0.131313,candidate_signal,target-associated methylation signal; mechanism not inferred
chr10,103025000,103029999,chr10:100000000-104999999,age_weeks,lgbm,chr10:103025000-103029999,5,0.45794889619199586,0.45794889619199586,89.8,0.9991261664302235,0.449344,1.422348908006251e-61,0.00082,0.087612,0.181695,candidate_signal,target-associated methylation signal; mechanism not inferred
chr4,49055000,49059999,chr4:45000000-49999999,age_weeks,lgbm,chr4:49055000-49059999,5,0.45782209928386486,0.45782209928386486,125.6,0.9991261664302235,0.465817,1.264469434247725e-66,0.00082,0.045556,0.050686,candidate_signal,target-associated methylation signal; mechanism not inferred
chr5,15930000,15934999,chr5:15000000-19999999,age_weeks,lgbm,chr5:15930000-15934999,5,0.4577871074705347,0.4577871074705347,162.2,0.9841727552885668,0.472952,5.815446995417015e-68,0.014766,0.050648,0.057709,candidate_signal,target-associated methylation signal; mechanism not inferred
chr2,64095000,64099999,chr2:60000000-64999999,age_weeks,lgbm,chr2:64095000-64099999,5,0.45703180023915396,0.45703180023915396,94.2,0.9929765846233023,0.459658,2.425331929695858e-64,0.006563,0.068086,0.128374,candidate_signal,target-associated methylation signal; mechanism not inferred
chr2,149830000,149834999,chr2:145000000-149999999,age_weeks,lgbm,chr2:149830000-149834999,5,0.45695633022658344,0.45695633022658344,88.8,1.0,0.452385,1.5531713546848033e-62,0.0,0.100493,0.208078,candidate_signal,target-associated methylation signal; mechanism not inferred
chr8,12385000,12389999,chr8:10000000-14999999,age_weeks,lgbm,chr8:12385000-12389999,5,0.45680914259493316,0.45680914259493316,94.4,1.0,0.458052,2.925008390609725e-64,0.0,0.049866,0.052672,candidate_signal,target-associated methylation signal; mechanism not inferred
chr4,25800000,25804999,chr4:25000000-29999999,age_weeks,lgbm,chr4:25800000-25804999,5,0.4567888717111269,0.4567888717111269,139.0,0.9973730414875893,0.457096,8.175927072233257e-64,0.002461,0.18439,0.350852,tissue_confounded,target-associated methylation signal; mechanism not inferred
chr18,45555000,45559999,chr18:45000000-49999999,age_weeks,lgbm,chr18:45555000-45559999,5,0.4566046547128737,0.4566046547128737,92.4,0.9991207086271426,0.463445,7.022210598837807e-66,0.00082,0.042398,0.062459,candidate_signal,target-associated methylation signal; mechanism not inferred
chr10,114800000,114804999,chr10:110000000-114999999,age_weeks,lgbm,chr10:114800000-114804999,5,0.45639809302419865,0.45639809302419865,124.0,0.9991261664302235,0.458064,3.2623836693077525e-64,0.00082,0.112786,0.241212,candidate_signal,target-associated methylation signal; mechanism not inferred
chr9,69765000,69769999,chr9:65000000-69999999,age_weeks,lgbm,chr9:69765000-69769999,5,0.45520505313925497,0.4552050531392551,94.8,0.9991261664302235,0.45567,1.7616971138938631e-63,0.00082,0.0838,0.143641,candidate_signal,target-associated methylation signal; mechanism not inferred
chr5,128600000,128604999,chr5:125000000-129999999,age_weeks,lgbm,chr5:128600000-128604999,5,0.45492563892078436,0.45492563892078436,93.6,1.0,0.451876,2.211005478521505e-62,0.0,0.072242,0.125134,candidate_signal,target-associated methylation signal; mechanism not inferred
chr18,45560000,45564999,chr18:45000000-49999999,age_weeks,lgbm,chr18:45560000-45564999,5,0.45488493794114,0.45488493794114,103.2,0.9991261664302235,0.456733,8.348742246359519e-64,0.00082,0.068295,0.108,candidate_signal,target-associated methylation signal; mechanism not inferred
chr5,132540000,132544999,chr5:130000000-134999999,age_weeks,lgbm,chr5:132540000-132544999,5,0.4538878393225397,0.4538878393225397,103.4,1.0,0.459461,1.0765004871545898e-64,0.0,0.033857,0.058161,candidate_signal,target-associated methylation signal; mechanism not inferred
chr1,69105000,69109999,chr1:65000000-69999999,age_weeks,lgbm,chr1:69105000-69109999,5,0.4535475655508157,0.4535475655508157,119.6,1.0,0.458806,1.7142685377424286e-64,0.0,0.048539,0.088194,candidate_signal,target-associated methylation signal; mechanism not inferred
chr5,98855000,98859999,chr5:95000000-99999999,age_weeks,lgbm,chr5:98855000-98859999,5,0.45315846533040227,0.45315846533040227,226.0,0.9991207086271426,0.462038,1.9282961690891857e-65,0.00082,0.071255,0.092732,candidate_signal,target-associated methylation signal; mechanism not inferred
chr12,118845000,118849999,chr12:115000000-119999999,age_weeks,lgbm,chr12:118845000-118849999,5,0.4528046080069835,0.4528046080069835,99.4,1.0,0.451494,2.881571447550055e-62,0.0,0.054984,0.111818,candidate_signal,target-associated methylation signal; mechanism not inferred
chr10,125965000,125969999,chr10:125000000-129999999,age_weeks,lgbm,chr10:125965000-125969999,5,0.45229049612492317,0.45229049612492317,105.0,1.0,0.454242,4.2609159043521495e-63,0.0,0.053099,0.095409,candidate_signal,target-associated methylation signal; mechanism not inferred
chr2,106690000,106694999,chr2:105000000-109999999,age_weeks,lgbm,chr2:106690000-106694999,5,0.45185753802729095,0.451857538027291,100.2,1.0,0.452287,1.6626479651244055e-62,0.0,0.060892,0.100212,candidate_signal,target-associated methylation signal; mechanism not inferred
chr17,67350000,67354999,chr17:65000000-69999999,age_weeks,lgbm,chr17:67350000-67354999,5,0.45180112666383565,0.45180112666383565,161.0,0.9991207086271426,0.461754,2.363559636815554e-65,0.00082,0.045455,0.072398,candidate_signal,target-associated methylation signal; mechanism not inferred
chr6,23245000,23249999,chr6:20000000-24999999,age_weeks,lgbm,chr6:23245000-23249999,5,0.4516686905253783,0.4516686905253784,114.4,1.0,0.44104,3.5377101276531167e-59,0.0,0.101191,0.20469,candidate_signal,target-associated methylation signal; mechanism not inferred
chr16,28445000,28449999,chr16:25000000-29999999,age_weeks,lgbm,chr16:28445000-28449999,5,0.45136719156866134,0.45136719156866134,151.0,1.0,0.4584,2.2863805850556468e-64,0.0,0.036547,0.047421,candidate_signal,target-associated methylation signal; mechanism not inferred
chr12,5375000,5379999,chr12:5000000-9999999,age_weeks,lgbm,chr12:5375000-5379999,5,0.4509447016491504,0.4509447016491504,153.8,0.9991207086271426,0.457371,5.32367969598224e-64,0.00082,0.04948,0.086487,candidate_signal,target-associated methylation signal; mechanism not inferred
chr11,82930000,82934999,chr11:80000000-84999999,age_weeks,lgbm,chr11:82930000-82934999,5,0.45074942907509363,0.45074942907509363,148.6,0.9977116974050653,0.421498,1.4768139549918472e-53,0.002461,0.306588,0.517226,dataset_confounded,target-associated methylation signal; mechanism not inferred
chr8,44935000,44939999,chr8:40000000-44999999,age_weeks,lgbm,chr8:44935000-44939999,5,0.4506416736274036,0.4506416736274036,154.6,1.0,0.459727,8.911538044749609e-65,0.0,0.045688,0.060945,candidate_signal,target-associated methylation signal; mechanism not inferred
chr14,46385000,46389999,chr14:45000000-49999999,age_weeks,lgbm,chr14:46385000-46389999,5,0.45058162025561205,0.45058162025561205,115.0,0.9991261664302235,0.450999,4.547371624796452e-62,0.00082,0.064555,0.079201,candidate_signal,target-associated methylation signal; mechanism not inferred
chr18,64265000,64269999,chr18:60000000-64999999,age_weeks,lgbm,chr18:64265000-64269999,5,0.45029033805596763,0.45029033805596763,122.0,1.0,0.451339,3.207339653084509e-62,0.0,0.083655,0.154764,candidate_signal,target-associated methylation signal; mechanism not inferred
chr9,111310000,111314999,chr9:110000000-114999999,age_weeks,lgbm,chr9:111310000-111314999,5,0.45010848273584364,0.45010848273584364,145.0,0.9991207086271426,0.448709,2.1983737870903718e-61,0.00082,0.175545,0.376475,tissue_confounded,target-associated methylation signal; mechanism not inferred
chr5,14510000,14514999,chr5:10000000-14999999,age_weeks,lgbm,chr5:14510000-14514999,5,0.45010384003615,0.45010384003615,103.8,0.9947242517628556,0.451716,4.913406749331968e-62,0.004922,0.072438,0.109002,candidate_signal,target-associated methylation signal; mechanism not inferred
chr6,77240000,77244999,chr6:75000000-79999999,age_weeks,lgbm,chr6:77240000-77244999,5,0.44989393919715115,0.44989393919715115,128.0,0.9991261664302235,0.449354,1.4124128826676308e-61,0.00082,0.076635,0.150327,candidate_signal,target-associated methylation signal; mechanism not inferred
chr11,42420000,42424999,chr11:40000000-44999999,age_weeks,lgbm,chr11:42420000-42424999,5,0.4488458592897523,0.4488458592897523,145.0,0.9882653438211577,0.455157,1.2887582147117752e-62,0.012305,0.07617,0.113421,candidate_signal,target-associated methylation signal; mechanism not inferred
chr12,17990000,17994999,chr12:15000000-19999999,age_weeks,lgbm,chr12:17990000-17994999,5,0.44773150383426347,0.44773150383426347,176.2,0.9969489298734204,0.446503,1.38632095159726e-60,0.003281,0.23615,0.418001,tissue_confounded,target-associated methylation signal; mechanism not inferred
chr12,49380000,49384999,chr12:45000000-49999999,age_weeks,lgbm,chr12:49380000-49384999,5,0.44772050548438347,0.44772050548438347,118.2,1.0,0.437753,3.1479612768308165e-58,0.0,0.113423,0.238637,candidate_signal,target-associated methylation signal; mechanism not inferred
chr11,93095000,93099999,chr11:90000000-94999999,age_weeks,lgbm,chr11:93095000-93099999,5,0.4475058268007287,0.4475058268007287,128.8,1.0,0.448196,2.7919672408009283e-61,0.0,0.083096,0.153952,candidate_signal,target-associated methylation signal; mechanism not inferred
chr4,99650000,99654999,chr4:95000000-99999999,age_weeks,lgbm,chr4:99650000-99654999,5,0.4474561915328163,0.44745619153281624,113.4,1.0,0.446287,1.0272894957639304e-60,0.0,0.126552,0.223358,candidate_signal,target-associated methylation signal; mechanism not inferred
chr14,70075000,70079999,chr14:70000000-74999999,age_weeks,lgbm,chr14:70075000-70079999,5,0.44681118642113515,0.44681118642113515,142.2,1.0,0.444559,3.3183025355173393e-60,0.0,0.090568,0.163372,candidate_signal,target-associated methylation signal; mechanism not inferred
chr9,4795000,4799999,chr9:0-4999999,age_weeks,lgbm,chr9:4795000-4799999,5,0.44668727151209475,0.4466872715120947,143.6,0.9966102739559444,0.450481,9.152768251449008e-62,0.003281,0.067618,0.110579,candidate_signal,target-associated methylation signal; mechanism not inferred
chr7,134225000,134229999,chr7:130000000-134999999,age_weeks,lgbm,chr7:134225000-134229999,5,0.44620658729164175,0.44620658729164175,189.0,1.0,0.447469,4.5887357567963315e-61,0.0,0.07909,0.084817,candidate_signal,target-associated methylation signal; mechanism not inferred
chr8,99415000,99419999,chr8:95000000-99999999,age_weeks,lgbm,chr8:99415000-99419999,5,0.4460994952367544,0.44609949523675435,157.8,0.9991261664302235,0.439376,1.1951849491818894e-58,0.00082,0.237162,0.501356,tissue_confounded,target-associated methylation signal; mechanism not inferred
chr2,179440000,179444999,chr2:175000000-179999999,age_weeks,lgbm,chr2:179440000-179444999,5,0.4458256920157787,0.44582569201577876,132.4,0.9982414172542852,0.449069,1.9230031440137736e-61,0.001641,0.048045,0.079361,candidate_signal,target-associated methylation signal; mechanism not inferred
chr3,92080000,92084999,chr3:90000000-94999999,age_weeks,lgbm,chr3:92080000-92084999,5,0.44536347245269015,0.44536347245269026,198.2,0.995603543135713,0.455165,4.0004632577380003e-63,0.004102,0.033592,0.032163,candidate_signal,target-associated methylation signal; mechanism not inferred
chr17,69965000,69969999,chr17:65000000-69999999,age_weeks,lgbm,chr17:69965000-69969999,5,0.44516560653200343,0.44516560653200343,199.0,0.9991207086271426,0.448037,3.4826992438871214e-61,0.00082,0.114089,0.223324,candidate_signal,target-associated methylation signal; mechanism not inferred
chr3,62335000,62339999,chr3:60000000-64999999,age_weeks,lgbm,chr3:62335000-62339999,5,0.44501236631722885,0.44501236631722885,193.6,1.0,0.453316,8.127700216316445e-63,0.0,0.052626,0.083611,candidate_signal,target-associated methylation signal; mechanism not inferred
chr18,58205000,58209999,chr18:55000000-59999999,age_weeks,lgbm,chr18:58205000-58209999,5,0.44457746236863277,0.44457746236863277,162.0,0.9982414172542852,0.444948,3.182581892951913e-60,0.001641,0.088659,0.170487,candidate_signal,target-associated methylation signal; mechanism not inferred
chr9,55545000,55549999,chr9:55000000-59999999,age_weeks,lgbm,chr9:55545000-55549999,5,0.4445052637775085,0.4445052637775085,120.8,1.0,0.436844,5.7378704875026645e-58,0.0,0.132666,0.239306,candidate_signal,target-associated methylation signal; mechanism not inferred
chr8,50915000,50919999,chr8:50000000-54999999,age_weeks,lgbm,chr8:50915000-50919999,5,0.4442756946214453,0.4442756946214453,150.2,0.9991261664302235,0.4288,1.1894566611747332e-55,0.00082,0.183864,0.379627,tissue_confounded,target-associated methylation signal; mechanism not inferred
chr12,46815000,46819999,chr12:45000000-49999999,age_weeks,lgbm,chr12:46815000-46819999,5,0.4436844608041307,0.4436844608041307,143.6,1.0,0.44763,4.112952962131726e-61,0.0,0.051035,0.099244,candidate_signal,target-associated methylation signal; mechanism not inferred
chr4,91370000,91374999,chr4:90000000-94999999,age_weeks,lgbm,chr4:91370000-91374999,5,0.4434532734502712,0.4434532734502712,166.6,1.0,0.430541,3.503953562993004e-56,0.0,0.145964,0.298805,tissue_confounded,target-associated methylation signal; mechanism not inferred
chr14,111675000,111679999,chr14:110000000-114999999,age_weeks,lgbm,chr14:111675000-111679999,5,0.4428726141416811,0.4428726141416811,129.8,1.0,0.441054,3.5051726660092326e-59,0.0,0.066771,0.119403,candidate_signal,target-associated methylation signal; mechanism not inferred
chr8,102780000,102784999,chr8:100000000-104999999,age_weeks,lgbm,chr8:102780000-102784999,5,0.44276730621816374,0.4427673062181638,151.2,0.9982468750573659,0.44329,9.734406212156145e-60,0.001641,0.069621,0.133761,candidate_signal,target-associated methylation signal; mechanism not inferred
chr2,180595000,180599999,chr2:180000000-184999999,age_weeks,lgbm,chr2:180595000-180599999,5,0.4425991412538949,0.44259914125389477,164.8,0.9938504181930788,0.444926,5.619504218253584e-60,0.005742,0.122516,0.24109,candidate_signal,target-associated methylation signal; mechanism not inferred
chr17,93200000,93204999,chr17:90000000-94999999,age_weeks,lgbm,chr17:93200000-93204999,5,0.4424242578179413,0.4424242578179414,197.6,1.0,0.446956,6.512044373918726e-61,0.0,0.055725,0.104617,candidate_signal,target-associated methylation signal; mechanism not inferred
chr3,117360000,117364999,chr3:115000000-119999999,age_weeks,lgbm,chr3:117360000-117364999,5,0.44221085855697917,0.4422108585569792,184.6,0.9947351673690171,0.44823,5.357392827341377e-61,0.004922,0.052181,0.072564,candidate_signal,target-associated methylation signal; mechanism not inferred
chr1,15285000,15289999,chr1:15000000-19999999,age_weeks,lgbm,chr1:15285000-15289999,5,0.4419532399870846,0.4419532399870845,135.8,0.9991261664302235,0.437518,4.090202510500149e-58,0.00082,0.09499,0.172796,candidate_signal,target-associated methylation signal; mechanism not inferred
chr7,70365000,70369999,chr7:70000000-74999999,age_weeks,lgbm,chr7:70365000-70369999,5,0.4410134830975158,0.4410134830975159,171.0,1.0,0.449131,1.4705104340889224e-61,0.0,0.082338,0.092388,candidate_signal,target-associated methylation signal; mechanism not inferred
chr8,89040000,89044999,chr8:85000000-89999999,age_weeks,lgbm,chr8:89040000-89044999,5,0.44096697140611063,0.44096697140611063,145.2,1.0,0.43893,1.4435672469352564e-58,0.0,0.064064,0.0991,candidate_signal,target-associated methylation signal; mechanism not inferred
chr12,49385000,49389999,chr12:45000000-49999999,age_weeks,lgbm,chr12:49385000-49389999,5,0.43997737351121363,0.43997737351121363,154.0,1.0,0.435833,1.1161840183575902e-57,0.0,0.231565,0.490362,tissue_confounded,target-associated methylation signal; mechanism not inferred
chr17,42315000,42319999,chr17:40000000-44999999,age_weeks,lgbm,chr17:42315000-42319999,5,0.4388901925709341,0.438890192570934,178.6,0.9991207086271426,0.433452,5.885536163025171e-57,0.00082,0.138458,0.281887,tissue_confounded,target-associated methylation signal; mechanism not inferred
